,geo_code,Income (F),Government Transfer (F)
975,35250857,24576,5720
976,35250859,36480,8096
977,35250860,28448,5424
978,35250861,30400,3560
979,35250862,40832,5296
980,35250863,23616,3040
981,35250864,32320,7440
982,35250865,37248,4752
983,35250866,28480,4496
984,35250867,36416,3888
985,35250868,24896,3160
986,35250869,39936,2344
987,35250870,43136,3936
988,35250871,27072,5056
989,35250872,33920,2856
990,35250873,37952,2643
991,35250874,30912,2928
992,35250875,32768,3912
993,35250876,28608,2888
994,35250877,24576,3788
995,35250878,35712,4240
996,35250879,33408,4552
997,35250880,27136,9184
998,35250881,26624,10784
999,35250882,37056,4024
1000,35250883,36096,2944
1001,35250884,39595,1927
1002,35250885,41088,2104
1003,35250886,36096,3000
1004,35250887,35200,1927
1005,35250888,39680,2360
1006,35250889,37696,3020
1007,35250890,35200,1924
1008,35250891,43392,2392
1009,35250892,39360,4342
1010,35250893,24992,2888
1011,35250894,30112,3280
1012,35250895,32704,5264
1013,35250896,23168,3968
1014,35250897,26048,6224
1015,35250898,19136,6592
1016,35250899,32672,6128
1017,35250900,27392,5120
1018,35250901,30784,4384
1019,35250902,30784,4736
1020,35250903,26752,6896
1021,35250904,28096,5776
1022,35250905,22720,6806
1023,35250906,35712,4923
1024,35250907,25152,6192
1025,35250908,25024,5200
1026,35250909,34720,2645
1027,35250910,37056,2740
1028,35250911,39936,1551
1029,35250912,32448,1652
1030,35250913,33664,5840
1031,35250914,30272,9408
1032,35250918,5472,13952
1033,35250919,30528,3616
1034,35250920,35712,3848
1035,35250921,27584,6352
1036,35250922,26496,6160
1037,35250923,28928,3240
1038,35250924,26944,6704
1039,35250925,28032,3784
1040,35250928,25190,6032
1041,35250929,28896,4968
1042,35250930,22080,6000
1043,35250931,30528,3976
1044,35250932,27168,10816
1045,35250933,28224,3152
1046,35250934,27968,4960
1047,35250935,15968,12768
1048,35250936,33707,4336
1049,35250937,36992,4992
1050,35250938,31936,6736
1051,35250939,28480,6960
1052,35250940,27968,8352
1053,35250941,30272,5168
1054,35250942,26624,4144
1055,35250943,37504,3984
1056,35250944,33152,2736
1057,35250945,41728,2944
1058,35250946,34176,8672
1059,35250947,34944,5568
1060,35250948,36224,3552
1061,35250949,36864,2856
1062,35250950,34112,2120
1063,35250951,42752,1898
1064,35250952,39168,3888
1065,35250953,18944,8208
1066,35250954,16032,8496
1067,35250955,14880,15424
1068,35250956,8240,15232
1069,35250957,20544,6240
1070,35250958,19904,8224
1071,35250959,23264,8992
1072,35250960,24320,10624
1073,35250961,25024,6832
1074,35250962,19776,2544
1075,35250963,21872,7312
1076,35250964,27904,6960
1077,35250965,19008,2412
1078,35250966,0,0
1079,35250967,44032,5488
1080,35250968,18432,3736
1081,35250969,24512,5056
1082,35250970,22080,2344
1083,35250971,35712,3232
1084,35250972,27328,7312
1085,35250973,27584,4976
1086,35250974,40320,5648
1087,35250975,36224,6784
1088,35250976,30016,7664
1089,35250978,35968,4312
1090,35250980,27712,4752
1091,35250981,31520,2712
1092,35250982,814,15264
1093,35250983,26944,4328
1094,35250985,34432,3112
1095,35250986,35200,1836
1096,35250987,27456,6368
1097,35250988,32448,4512
1098,35250989,30784,3976
1099,35250990,20992,10592
1100,35250991,26944,5568
1101,35250992,34944,1972
1102,35250993,0,0
1103,35250994,42112,4048
1104,35250995,25728,11520
1105,35250996,40064,3664
1106,35250997,24128,13960
1107,35250998,30016,4720
1108,35250999,40491,3608
1109,35251000,34304,1884
1110,35251001,33792,3144
1111,35251002,34432,3328
1112,35251003,37248,3048
1113,35251004,41344,3320
1114,35251005,41728,2784
1115,35251006,40064,3888
1116,35251007,44928,2568
