geo_code,,in labour force,not in labour force,employed,unemployed
35250148,male,155,60,155,0
35250149,female,140,85,135,10
35250149,male,155,80,150,10
35250150,female,125,105,120,0
35250150,male,145,70,135,10
35250151,female,110,65,105,0
35250151,male,125,50,115,10
35250152,female,325,310,310,10
35250152,male,350,170,345,10
35250153,female,130,120,130,0
35250153,male,170,95,170,0
35250156,female,90,65,90,10
35250156,male,100,30,100,0
35250158,female,115,75,115,0
35250158,male,150,60,145,0
35250159,female,100,80,95,0
35250159,male,105,70,105,0
35250160,female,95,80,95,10
35250160,male,95,60,80,15
35250161,female,170,95,160,10
35250161,male,220,80,205,15
35250162,female,130,55,125,0
35250162,male,140,25,145,0
35250163,female,110,135,110,0
35250163,male,160,45,155,10
35250164,female,100,155,100,0
35250164,male,125,70,115,0
35250172,female,100,105,100,0
35250172,male,110,65,110,0
35250173,female,360,125,350,10
35250173,male,345,95,310,25
35250175,female,405,180,400,0
35250175,male,440,85,425,15
35250176,female,170,110,160,15
35250176,male,240,90,225,15
35250177,female,205,130,170,35
35250177,male,195,55,180,15
35250178,female,140,135,130,10
35250178,male,175,60,170,10
35250179,female,195,70,185,10
35250179,male,280,25,265,15
35250180,female,420,200,390,30
35250180,male,430,140,415,10
35250181,female,140,60,135,10
35250181,male,125,45,120,10
35250183,female,60,30,60,0
35250183,male,80,15,80,0
35250184,female,125,30,125,0
35250184,male,110,35,105,10
35250185,female,105,50,105,0
35250185,male,95,55,85,10
35250186,female,75,65,75,0
35250186,male,75,60,70,0
35250188,female,220,105,210,15
35250188,male,250,50,235,10
35250189,female,175,80,180,0
35250189,male,240,45,235,0
35250190,female,80,85,80,0
35250190,male,120,35,115,10
35250191,female,215,115,205,15
35250191,male,200,70,185,15
35250192,female,430,155,385,45
35250192,male,455,155,425,25
35250193,female,90,65,80,10
35250193,male,70,65,65,0
35250194,female,110,55,105,10
35250194,male,130,65,125,10
35250196,female,130,65,120,15
35250196,male,130,50,110,15
35250197,female,105,95,100,0
35250197,male,135,60,130,10
35250199,female,760,475,665,100
35250199,male,790,240,710,80
35250200,female,180,100,150,30
35250200,male,190,80,170,20
35250201,female,50,70,40,10
35250201,male,45,60,35,10
35250202,female,210,215,200,15
35250202,male,340,75,290,50
35250203,female,260,210,230,25
35250203,male,285,160,250,35
35250204,female,195,210,165,35
35250204,male,245,90,225,20
35250205,female,65,30,65,0
35250205,male,75,35,65,10
35250206,female,145,120,130,15
35250206,male,175,95,155,25
35250207,female,85,45,80,0
35250207,male,90,50,80,10
35250208,female,115,75,105,10
35250208,male,120,60,105,10
35250209,female,85,95,80,0
35250209,male,95,55,90,10
35250210,female,130,110,120,10
35250210,male,125,70,125,0
35250211,female,50,130,40,10
35250211,male,40,95,40,10
35250212,female,95,100,85,10
35250212,male,115,95,105,10
35250213,female,65,100,60,10
35250213,male,105,95,85,20
35250216,female,85,105,75,10
35250216,male,90,60,90,0
35250217,female,155,115,130,20
35250217,male,160,40,145,15
35250218,female,135,85,125,10
35250218,male,140,65,135,0
35250221,female,105,120,90,10
35250221,male,165,70,165,0
35250222,female,110,110,95,10
35250222,male,110,60,105,0
35250223,female,100,100,90,10
35250223,male,145,75,125,25
35250224,female,60,90,55,10
35250224,male,85,50,85,10
35250225,female,80,80,80,0
35250225,male,100,70,95,0
35250226,female,125,175,120,0
35250226,male,95,130,90,10
35250227,female,150,95,135,10
35250227,male,155,90,135,15
35250230,female,105,105,80,25
35250230,male,160,85,160,0
35250231,female,130,195,110,15
35250231,male,140,145,135,10
35250232,female,125,210,110,15
35250232,male,155,105,110,35
35250233,female,115,165,115,0
35250233,male,130,75,125,10
35250234,female,110,55,105,10
35250234,male,110,60,105,10
35250238,female,130,160,115,20
35250238,male,220,115,190,25
35250239,female,60,105,45,20
35250239,male,110,60,90,20
35250240,female,100,160,95,10
35250240,male,140,145,120,20
35250241,female,85,55,80,10
35250241,male,85,45,85,0
35250242,female,x,x,x,x
35250242,male,x,x,x,x
35250243,female,200,305,185,20
35250243,male,215,215,175,40
35250248,female,235,175,215,15
35250248,male,240,105,225,15
35250249,female,60,180,55,0
35250249,male,95,110,80,10
35250250,female,95,105,90,10
35250250,male,115,85,110,10
35250251,female,95,55,85,10
35250251,male,105,45,105,0
35250254,female,175,140,165,10
35250254,male,190,110,170,20
35250255,female,105,95,90,15
35250255,male,130,85,115,15
35250256,female,145,175,145,0
35250256,male,130,105,125,0
35250257,female,120,185,115,10
35250257,male,150,120,145,10
35250258,female,150,245,130,15
35250258,male,135,145,130,0
35250259,female,115,105,105,10
35250259,male,145,85,140,0
35250260,female,115,215,105,10
35250260,male,105,95,100,10
35250261,female,100,165,95,0
35250261,male,100,70,90,10
35250262,female,145,190,135,10
35250262,male,130,105,125,0
35250263,female,240,165,225,20
35250263,male,270,100,260,10
35250264,female,95,80,80,20
35250264,male,110,75,95,10
35250265,female,95,105,95,0
35250265,male,95,55,100,0
35250266,female,75,95,65,10
35250266,male,95,65,95,0
35250267,female,160,65,160,0
35250267,male,165,75,145,15
35250269,female,40,45,35,0
