,geo_code,Couples with Children,Couples with 1 Child,Couples with 2 Chidren,Couples with 3 Chidlren
644,35250471,35,15,10,10
645,35250472,40,25,5,5
646,35250473,20,15,0,0
647,35250474,50,25,20,20
648,35250475,45,10,15,15
649,35250476,40,20,15,15
650,35250477,40,15,30,30
651,35250478,35,20,15,15
652,35250479,65,35,20,20
653,35250480,40,20,20,20
654,35250481,25,20,20,20
655,35250482,45,20,15,15
656,35250483,30,20,25,25
657,35250484,40,20,15,15
658,35250485,50,30,15,15
659,35250486,70,20,10,10
660,35250487,40,20,15,15
661,35250488,55,20,20,20
662,35250489,35,30,10,10
663,35250490,40,20,25,25
664,35250491,10,5,10,10
665,35250492,30,15,15,15
666,35250493,40,20,10,10
667,35250494,40,15,10,10
668,35250495,40,20,15,15
669,35250496,30,10,5,5
670,35250497,55,30,25,25
671,35250498,50,25,10,10
672,35250499,55,20,15,15
673,35250501,75,30,30,30
674,35250502,50,30,35,35
675,35250503,30,15,15,15
676,35250504,45,20,20,20
677,35250506,60,20,25,25
678,35250507,55,20,10,10
679,35250508,55,25,40,40
680,35250509,65,35,35,35
681,35250510,45,30,40,40
682,35250511,80,40,35,35
683,35250512,50,15,20,20
684,35250513,65,25,20,20
685,35250514,115,45,60,60
686,35250515,60,10,30,30
687,35250516,100,45,45,45
688,35250517,35,15,30,30
689,35250518,40,20,20,20
690,35250519,75,40,30,30
691,35250520,70,35,30,30
692,35250521,60,25,25,25
693,35250522,35,15,10,10
694,35250523,65,35,20,20
695,35250524,35,15,15,15
696,35250525,45,20,15,15
697,35250526,65,35,55,55
698,35250527,60,20,20,20
699,35250528,70,15,15,15
700,35250529,40,25,20,20
701,35250530,35,20,25,25
702,35250531,30,25,30,30
703,35250532,50,20,20,20
704,35250533,95,25,25,25
705,35250534,45,25,15,15
706,35250535,55,25,30,30
707,35250536,50,25,15,15
708,35250537,65,35,20,20
709,35250538,60,30,30,30
710,35250539,60,30,30,30
711,35250540,80,35,25,25
712,35250541,50,30,25,25
713,35250542,45,30,15,15
714,35250545,50,25,15,15
715,35250546,35,15,5,5
716,35250547,35,15,25,25
717,35250548,60,35,30,30
718,35250549,55,25,20,20
719,35250550,65,20,20,20
720,35250551,45,35,20,20
721,35250552,20,25,20,20
722,35250553,55,20,20,20
723,35250554,45,20,30,30
724,35250555,55,25,15,15
725,35250556,70,40,15,15
726,35250557,60,20,25,25
727,35250558,45,25,30,30
728,35250559,55,25,25,25
729,35250560,75,15,10,10
730,35250561,50,30,20,20
731,35250562,70,35,15,15
732,35250563,60,25,15,15
733,35250564,70,30,20,20
734,35250565,80,35,35,35
735,35250566,45,20,35,35
736,35250567,60,20,30,30
737,35250568,75,20,25,25
738,35250569,50,30,15,15
