,geo_code,household_income
919,35250776,19627
920,35250777,27776
921,35250778,28224
922,35250779,30528
923,35250780,27200
924,35250781,27264
925,35250782,28160
926,35250783,30240
927,35250784,31744
928,35250785,35200
929,35250786,30752
930,35250787,38528
931,35250788,33664
932,35250789,39744
933,35250790,41088
934,35250791,38272
935,35250792,32256
936,35250793,36608
937,35250798,22080
938,35250799,22848
939,35250800,23488
940,35250801,30080
941,35250802,29632
942,35250803,39168
943,35250804,42880
944,35250805,41472
945,35250806,31744
946,35250807,42880
947,35250810,42752
948,35250812,36992
949,35250813,41920
950,35250814,38464
951,35250815,41344
952,35250826,52352
953,35250827,35797
954,35250828,50688
955,35250829,34944
956,35250830,34304
957,35250831,39834
958,35250832,30528
959,35250833,41920
960,35250834,39859
961,35250835,40768
962,35250836,40416
963,35250843,31712
964,35250845,20800
965,35250846,21472
966,35250847,17746
967,35250848,28960
968,35250849,38656
969,35250850,29376
970,35250851,21525
971,35250852,25131
972,35250853,18208
973,35250854,17600
974,35250855,18368
975,35250857,31787
976,35250859,40768
977,35250860,31829
978,35250861,32448
979,35250862,46208
980,35250863,39680
981,35250864,38464
982,35250865,42112
983,35250866,39808
984,35250867,44416
985,35250868,42837
986,35250869,60203
987,35250870,52864
988,35250871,48640
989,35250872,55104
990,35250873,48896
991,35250874,38784
992,35250875,41728
993,35250876,43264
994,35250877,38208
995,35250878,46293
996,35250879,41728
997,35250880,30080
998,35250881,29184
999,35250882,45696
1000,35250883,47392
1001,35250884,52608
1002,35250885,49856
1003,35250886,45909
1004,35250887,50304
1005,35250888,46677
1006,35250889,46720
1007,35250890,47232
1008,35250891,53824
1009,35250892,49685
1010,35250893,36992
1011,35250894,41941
1012,35250895,38101
1013,35250896,36949
1014,35250897,43904
1015,35250898,33664
1016,35250899,41088
1017,35250900,39008
1018,35250901,43691
1019,35250902,43221
1020,35250903,40128
1021,35250904,40107
1022,35250905,36949
1023,35250906,51072
1024,35250907,40000
1025,35250908,36224
1026,35250909,46157
1027,35250910,37376
1028,35250911,43904
1029,35250912,43648
1030,35250913,41120
1031,35250914,38699
1032,35250918,40107
1033,35250919,39595
1034,35250920,49088
1035,35250921,32448
1036,35250922,35627
1037,35250923,36992
1038,35250924,35328
1039,35250925,37696
1040,35250928,34219
1041,35250929,37120
1042,35250930,37632
1043,35250931,39680
1044,35250932,30880
1045,35250933,39296
1046,35250934,39680
1047,35250935,34005
1048,35250936,40064
1049,35250937,44757
1050,35250938,46752
1051,35250939,44160
1052,35250940,47744
1053,35250941,40064
1054,35250942,34464
1055,35250943,49792
1056,35250944,44864
1057,35250945,46112
1058,35250946,42368
1059,35250947,44544
1060,35250948,44224
1061,35250949,47744
1062,35250950,46464
1063,35250951,47275
1064,35250952,49728
1065,35250953,18027
1066,35250954,22464
1067,35250955,19904
1068,35250956,17696
1069,35250957,23520
1070,35250958,24832
1071,35250959,25472
1072,35250960,22976
1073,35250961,22464
1074,35250962,23629
1075,35250963,26112
1076,35250964,30656
1077,35250965,29376
1078,35250966,0
1079,35250967,54784
1080,35250968,21141
1081,35250969,24064
1082,35250970,24448
1083,35250971,38187
1084,35250972,33024
1085,35250973,30016
