,geo_code,In Labour Force (M),Not in Labour Force (M),Employed (M),Unemployed (M)
1065,35250352,165,65,150,15
1067,35250353,150,80,130,20
1069,35250354,155,60,150,10
1071,35250355,135,75,130,10
1073,35250356,185,60,165,20
1075,35250357,195,45,185,15
1077,35250358,145,105,140,10
1079,35250359,130,55,115,10
1081,35250360,150,40,140,15
1083,35250361,145,70,125,20
1085,35250362,155,80,145,10
1087,35250363,115,65,100,10
1089,35250364,65,30,50,15
1091,35250365,260,115,240,15
1093,35250366,175,130,155,15
1095,35250367,135,85,120,15
1097,35250368,150,60,140,10
1099,35250369,140,70,130,10
1101,35250370,115,45,105,10
1103,35250371,115,80,110,10
1105,35250372,120,50,115,0
1107,35250373,100,45,85,15
1109,35250374,145,50,145,10
1111,35250375,170,60,165,10
1113,35250376,150,45,145,10
1115,35250377,160,100,155,10
1117,35250378,165,55,160,10
1119,35250379,70,50,65,0
1121,35250380,160,40,160,0
1123,35250381,90,85,75,20
1125,35250382,160,70,150,15
1127,35250383,175,100,150,25
1129,35250384,185,90,175,10
1131,35250385,140,30,120,20
1133,35250387,140,50,140,10
1135,35250388,140,30,135,10
1137,35250389,140,25,140,0
1139,35250390,135,20,125,10
1141,35250391,180,65,175,10
1143,35250392,140,40,125,10
1145,35250393,130,90,120,10
1147,35250394,230,120,205,30
1149,35250395,200,110,180,20
1151,35250396,180,80,160,20
1153,35250397,160,55,150,10
1155,35250398,60,120,55,0
1157,35250399,85,330,55,30
1159,35250400,175,105,155,20
1161,35250401,205,115,180,25
1163,35250402,140,55,135,10
1165,35250403,225,95,200,20
1167,35250404,125,25,110,15
1169,35250405,125,40,120,10
1171,35250406,175,70,165,10
1173,35250407,125,80,110,15
1175,35250408,140,95,115,25
1177,35250409,105,70,100,10
1179,35250410,120,55,100,15
1181,35250411,145,65,135,10
1183,35250412,55,145,55,0
1185,35250413,180,70,175,0
1187,35250416,160,85,140,20
1189,35250417,80,60,75,10
1191,35250418,170,40,160,15
1193,35250419,195,95,175,20
1195,35250420,300,145,280,15
1197,35250421,185,105,175,15
1199,35250422,175,265,150,30
1201,35250423,175,75,165,15
1203,35250424,150,120,130,15
1205,35250425,235,170,215,15
1207,35250426,140,60,135,10
1209,35250427,115,10,105,0
1211,35250428,115,70,100,20
1213,35250429,140,65,120,20
1215,35250430,140,55,130,10
1217,35250431,145,75,125,20
1219,35250434,365,225,340,25
1221,35250435,145,115,135,10
1223,35250436,125,110,105,25
1225,35250437,175,50,150,25
1227,35250438,105,60,75,25
1229,35250439,180,70,160,15
1231,35250440,215,115,205,10
1233,35250441,170,70,140,30
1235,35250442,220,70,195,30
1237,35250443,160,60,155,0
1239,35250444,105,90,100,0
1241,35250445,110,55,110,0
1243,35250446,145,90,135,10
1245,35250447,115,20,100,15
1247,35250448,210,130,185,30
1249,35250449,135,35,115,15
1251,35250450,110,60,100,10
1253,35250451,65,35,55,10
1255,35250452,90,30,90,0
1257,35250453,130,35,130,0
1259,35250454,195,95,165,30
1261,35250455,130,120,105,20
1263,35250456,110,125,65,50
1265,35250457,0,0,0,0
1267,35250458,70,100,50,20
1269,35250459,205,110,170,30
1271,35250460,90,80,85,10
1273,35250461,105,80,95,10
1275,35250462,70,50,60,15
1277,35250463,95,75,85,10
1279,35250464,75,30,70,10
1281,35250465,215,60,200,15
1283,35250466,75,55,70,0
1285,35250467,150,185,125,20
1287,35250468,155,85,135,20
1289,35250471,70,75,65,0
1291,35250472,105,85,95,10
1293,35250473,60,55,40,20
1295,35250474,165,145,150,20
1297,35250475,105,105,100,10
1299,35250476,100,50,80,20
1301,35250477,150,80,135,10
1303,35250478,80,70,80,0
1305,35250479,155,95,145,10
1307,35250480,130,90,110,20
1309,35250481,85,60,70,15
1311,35250482,100,70,95,10
1313,35250483,105,90,95,10
1315,35250484,100,55,75,20
1317,35250485,115,85,110,10
1319,35250486,160,100,145,20
1321,35250487,75,55,80,0
1323,35250488,145,65,130,10
1325,35250489,100,55,95,10
1327,35250490,150,45,145,10
1329,35250491,45,45,40,0
1331,35250492,95,35,85,10
