,geo_code,1 child,2 children,3 or more children
868,35250721,30,15,5
869,35250724,15,5,5
870,35250725,15,0,5
871,35250726,20,10,0
872,35250727,15,5,0
873,35250728,30,10,5
874,35250729,25,5,0
875,35250730,35,5,0
876,35250731,40,25,5
877,35250732,10,0,0
878,35250733,20,5,0
879,35250734,20,10,0
880,35250735,10,5,0
881,35250736,20,15,0
882,35250737,15,10,0
883,35250738,20,5,5
884,35250739,30,5,0
885,35250740,35,5,0
886,35250741,20,5,5
887,35250742,25,5,0
888,35250743,25,5,0
889,35250744,35,10,5
890,35250745,30,0,5
891,35250746,20,5,5
892,35250747,30,10,0
893,35250748,20,5,0
894,35250749,35,5,5
895,35250750,25,5,5
896,35250753,20,5,0
897,35250754,20,5,0
898,35250755,20,5,5
899,35250756,15,10,5
900,35250757,35,5,5
901,35250758,25,15,10
902,35250759,40,10,5
903,35250760,30,10,5
904,35250761,35,10,0
905,35250762,25,15,5
906,35250763,20,15,0
907,35250764,30,5,0
908,35250765,30,15,5
909,35250766,45,15,5
910,35250767,20,10,5
911,35250768,30,10,5
912,35250769,30,10,5
913,35250770,30,10,5
914,35250771,25,15,5
915,35250772,25,10,5
916,35250773,25,10,10
917,35250774,20,10,0
918,35250775,30,10,10
919,35250776,20,5,5
920,35250777,30,10,0
921,35250778,30,5,5
922,35250779,15,5,0
923,35250780,25,15,0
924,35250781,15,10,0
925,35250782,25,10,5
926,35250783,30,5,5
927,35250784,20,10,10
928,35250785,15,10,0
929,35250786,20,10,5
930,35250787,25,10,0
931,35250788,15,10,5
932,35250789,35,10,0
933,35250790,20,10,0
934,35250791,25,5,0
935,35250792,25,10,0
936,35250793,25,10,5
937,35250798,15,5,5
938,35250799,30,5,10
939,35250800,25,10,10
940,35250801,40,15,10
941,35250802,10,5,0
942,35250803,15,5,0
943,35250804,40,20,5
944,35250805,20,10,5
945,35250806,10,5,0
946,35250807,30,20,0
947,35250810,15,5,5
948,35250812,10,5,0
949,35250813,5,0,0
950,35250814,5,0,0
951,35250815,35,15,5
952,35250826,15,10,0
953,35250827,5,5,0
954,35250828,10,0,0
955,35250829,10,5,0
956,35250830,30,10,5
957,35250831,30,15,0
958,35250832,15,0,0
959,35250833,10,0,5
960,35250834,20,5,0
961,35250835,10,10,0
962,35250836,15,10,5
963,35250843,35,30,10
964,35250845,90,35,10
965,35250846,35,5,0
966,35250847,25,5,10
967,35250848,30,10,0
968,35250849,30,25,5
969,35250850,65,10,5
970,35250851,110,40,15
971,35250852,100,30,20
972,35250853,65,30,25
973,35250854,35,10,5
974,35250855,30,20,10
975,35250857,25,15,5
976,35250859,5,10,5
977,35250860,55,55,20
978,35250861,5,5,0
979,35250862,10,0,0
980,35250863,0,0,0
981,35250864,10,5,0
982,35250865,15,0,0
983,35250866,10,5,0
984,35250867,10,10,0
985,35250868,0,5,0
986,35250869,10,0,0
987,35250870,5,5,0
988,35250871,5,5,0
989,35250872,5,5,0
990,35250873,5,5,0
991,35250874,15,0,5
992,35250875,15,0,5
993,35250876,5,0,0
994,35250877,10,10,5
995,35250878,10,10,0
996,35250879,20,15,0
997,35250880,40,10,0
998,35250881,20,15,5
999,35250882,20,10,0
1000,35250883,15,15,0
1001,35250884,5,10,0
1002,35250885,5,5,5
1003,35250886,10,5,5
1004,35250887,10,15,5
1005,35250888,10,5,5
1006,35250889,10,10,0
1007,35250890,5,5,0
1008,35250891,5,5,0
1009,35250892,55,45,10
1010,35250893,10,5,0
1011,35250894,10,10,0
1012,35250895,5,5,0
1013,35250896,20,5,0
1014,35250897,5,0,0
1015,35250898,10,0,0
1016,35250899,15,5,0
1017,35250900,10,0,0
1018,35250901,5,0,0
1019,35250902,10,0,0
1020,35250903,10,5,0
1021,35250904,10,5,0
1022,35250905,5,5,0
1023,35250906,15,0,0
1024,35250907,10,0,0
1025,35250908,15,5,0
1026,35250909,25,25,15
1027,35250910,25,15,10
1028,35250911,10,5,5
1029,35250912,10,5,5
1030,35250913,15,15,5
1031,35250914,10,0,5
1032,35250918,45,0,5
1033,35250919,10,10,0
1034,35250920,20,5,5
1035,35250921,20,10,0
1036,35250922,15,10,5
1037,35250923,15,5,5
1038,35250924,10,5,0
1039,35250925,5,5,0
1040,35250928,10,5,0
1041,35250929,15,5,0
1042,35250930,15,0,0
1043,35250931,5,5,0
1044,35250932,5,5,0
1045,35250933,0,0,0
1046,35250934,5,0,0
1047,35250935,20,0,0
1048,35250936,5,0,5
1049,35250937,15,5,5
1050,35250938,15,5,0
1051,35250939,10,10,5
1052,35250940,10,10,0
1053,35250941,10,5,0
1054,35250942,20,0,0
1055,35250943,20,15,0
1056,35250944,10,10,0
1057,35250945,10,15,0
1058,35250946,5,5,0
1059,35250947,10,5,5
1060,35250948,15,20,5
1061,35250949,5,5,0
1062,35250950,5,0,5
1063,35250951,5,5,5
1064,35250952,35,40,10
1065,35250953,20,10,5
1066,35250954,25,10,10
1067,35250955,25,25,15
1068,35250956,10,0,0
1069,35250957,25,10,5
1070,35250958,25,5,5
1071,35250959,20,5,0
1072,35250960,25,10,5
1073,35250961,25,15,10
1074,35250962,20,10,0
1075,35250963,130,35,10
1076,35250964,25,10,0
1077,35250965,5,0,5
1078,35250966,F,F,F
1079,35250967,0,5,0
1080,35250968,10,5,0
1081,35250969,25,10,5
1082,35250970,35,15,0
1083,35250971,15,0,0
1084,35250972,5,5,0
1085,35250973,15,5,5
1086,35250974,5,5,0
1087,35250975,15,5,0
1088,35250976,0,0,0
1089,35250978,45,20,10
1090,35250980,10,5,0
1091,35250981,45,20,10
1092,35250982,5,0,0
1093,35250983,15,5,5
1094,35250985,15,20,10
1095,35250986,20,10,10
1096,35250987,30,35,10
1097,35250988,45,35,5
1098,35250989,35,30,10
1099,35250990,35,15,10
1100,35250991,30,10,0
1101,35250992,5,0,0
1102,35250993,5,5,0
1103,35250994,30,10,5
1104,35250995,80,40,20
1105,35250996,15,20,5
1106,35250997,15,5,5
1107,35250998,10,5,5
1108,35250999,15,10,5
1109,35251000,5,5,0
1110,35251001,10,5,5
1111,35251002,15,10,0
1112,35251003,20,15,5
1113,35251004,20,10,10
1114,35251005,15,10,0
1115,35251006,10,10,5
1116,35251007,30,15,0
1117,35251008,5,5,0
1118,35251009,30,25,5
1119,35251010,10,10,5
1120,35251011,20,5,0
1121,35251012,5,5,0
1122,35251013,10,15,0
1123,35251014,5,10,0
1124,35251015,10,20,5
1125,35251016,5,5,0
1126,35251017,10,10,5
1127,35251018,35,35,20
1128,35251019,5,0,0
1129,35251020,20,15,10
1130,35251021,10,10,0
1131,35251022,20,10,5
1132,35251023,5,5,5
1133,35251024,15,15,5
1134,35251025,125,35,10
1135,35251026,15,10,5
1136,35260307,10,5,0
1137,35260309,25,15,5
1138,35260310,0,10,0
1139,35260311,20,15,5
1140,35260313,10,5,5
1141,35260314,5,5,0
1142,35260315,10,5,0
1143,35260316,30,5,0
1144,35260317,10,10,0
1145,35260318,15,10,5
