,geo_code,median total income of couple economic families with children in 2015 ($),average family size of couple economic families with children
639,35250464,73984,4.8
640,35250465,51584,4.2
641,35250466,61312,4.6
642,35250467,43904,5.1
643,35250468,0,3.7
644,35250471,74752,4.7
645,35250472,79104,4.3
646,35250473,74496,4.0
647,35250474,50816,4.2
648,35250475,83712,4.2
649,35250476,75904,4.0
650,35250477,78165,4.3
651,35250478,77568,4.6
652,35250479,80128,4.3
653,35250480,65216,3.7
654,35250481,69888,4.1
655,35250482,67584,4.4
656,35250483,72960,4.3
657,35250484,62336,4.4
658,35250485,88832,4.0
659,35250486,73984,4.6
660,35250487,94592,4.5
661,35250488,80256,4.6
662,35250489,87552,3.8
663,35250490,91392,3.9
664,35250491,56448,4.8
665,35250492,86016,3.6
666,35250493,93952,4.0
667,35250494,89600,3.8
668,35250495,83712,4.1
669,35250496,x,4.0
670,35250497,90880,3.9
671,35250498,83200,4.1
672,35250499,88576,4.1
673,35250501,121600,3.8
674,35250502,120576,4.0
675,35250503,116480,4.0
676,35250504,45696,3.8
677,35250506,111360,4.0
678,35250507,99584,3.6
679,35250508,161792,3.9
680,35250509,161792,3.8
681,35250510,164864,3.8
682,35250511,114176,3.8
683,35250512,114432,3.8
684,35250513,110848,3.7
685,35250514,141056,3.8
686,35250515,171520,4.1
687,35250516,126464,4.0
688,35250517,130304,3.9
689,35250518,137216,4.0
690,35250519,121173,3.8
691,35250520,112384,4.1
692,35250521,100608,3.8
693,35250522,x,4.2
694,35250523,104192,4.1
695,35250524,93440,4.0
696,35250525,96512,4.0
697,35250526,53376,4.2
698,35250527,97621,3.9
699,35250528,109056,4.1
700,35250529,85504,3.8
701,35250530,86187,4.5
702,35250531,99584,4.0
703,35250532,107136,4.1
704,35250533,67840,4.0
705,35250534,104704,4.0
706,35250535,93440,4.3
707,35250536,85504,3.7
708,35250537,88832,3.8
709,35250538,112384,4.0
710,35250539,111360,4.1
711,35250540,109312,3.9
712,35250541,102400,4.2
713,35250542,94848,3.7
714,35250545,94805,4.0
715,35250546,0,4.0
716,35250547,102912,3.8
717,35250548,76032,4.2
718,35250549,99243,3.5
719,35250550,103680,3.8
720,35250551,99072,3.8
721,35250552,71680,3.8
722,35250553,99072,4.1
723,35250554,90368,4.0
724,35250555,116736,4.1
725,35250556,109312,3.9
726,35250557,64640,3.9
727,35250558,90112,3.8
728,35250559,100608,4.1
729,35250560,107776,3.3
730,35250561,102144,3.5
731,35250562,108032,3.4
732,35250563,75008,4.0
733,35250564,96256,3.8
734,35250565,119680,4.2
735,35250566,102656,3.9
736,35250567,92544,3.6
737,35250568,96512,4.2
738,35250569,98560,4.2
739,35250570,99328,3.9
740,35250571,114176,4.0
741,35250572,107008,4.2
742,35250573,120576,4.0
743,35250574,132608,4.1
744,35250578,106752,4.1
745,35250579,130304,4.1
746,35250580,68608,4.2
747,35250581,112896,4.1
748,35250582,100864,3.9
749,35250583,123648,3.9
750,35250585,107264,4.3
751,35250586,128512,4.2
752,35250587,119808,3.7
753,35250588,109824,4.0
754,35250589,129664,3.9
755,35250590,130304,4.2
756,35250591,133632,4.4
757,35250592,117504,3.9
758,35250593,87936,4.4
759,35250594,108288,4.2
760,35250595,112384,4.2
761,35250596,102144,4.3
762,35250597,92416,4.0
763,35250598,103936,3.9
764,35250599,78592,3.2
765,35250600,81664,3.7
766,35250601,105728,4.1
767,35250602,100608,4.0
768,35250603,110080,4.0
769,35250604,104704,3.8
770,35250605,92416,4.2
771,35250606,113408,3.9
772,35250607,109312,4.2
773,35250608,66304,4.1
774,35250609,102656,4.3
775,35250610,114944,4.3
776,35250611,81664,4.5
777,35250612,90368,4.3
778,35250613,78208,4.2
779,35250614,107008,4.8
780,35250615,115200,4.0
781,35250616,96256,5.0
782,35250617,73984,4.0
783,35250618,114432,4.0
784,35250619,102144,4.1
785,35250620,140800,4.4
786,35250621,110336,4.2
787,35250622,71680,3.7
788,35250623,110848,4.0
789,35250624,120064,3.9
790,35250625,106496,4.2
791,35250626,99072,3.9
792,35250627,104576,4.6
793,35250628,130304,4.0
794,35250629,120576,4.0
795,35250630,121856,3.9
796,35250631,109568,4.2
797,35250632,64000,4.7
798,35250633,x,4.2
799,35250634,82944,4.4
800,35250635,92928,4.1
801,35250636,103168,4.2
802,35250637,124416,4.1
803,35250638,100096,4.1
804,35250639,121856,4.0
805,35250640,142336,4.3
806,35250641,109824,4.0
807,35250642,91904,4.0
808,35250643,141312,4.4
809,35250644,142848,4.2
810,35250645,136533,4.2
811,35250646,126208,4.2
812,35250647,110336,3.9
813,35250648,113920,4.3
814,35250649,117632,4.2
815,35250650,115456,4.2
816,35250651,132608,3.9
817,35250652,142336,4.5
818,35250655,124608,4.2
819,35250656,108800,4.2
820,35250657,115456,4.3
821,35250658,137216,3.9
822,35250659,128000,4.4
823,35250661,124416,4.2
824,35250662,133760,4.2
825,35250663,136704,4.2
826,35250664,115584,3.8
827,35250665,129536,4.4
828,35250666,127232,4.0
829,35250667,x,4.0
830,35250668,94208,4.5
831,35250669,0,4.0
832,35250670,172544,4.0
833,35250671,116736,3.8
834,35250672,118016,3.2
835,35250675,133632,3.9
836,35250676,134656,4.0
837,35250677,181760,4.0
838,35250678,275456,4.3
839,35250679,164352,4.0
840,35250680,104704,3.7
841,35250681,108032,4.1
842,35250692,68096,4.1
843,35250693,71424,4.3
844,35250694,77568,4.2
845,35250695,43648,5.3
846,35250696,65536,4.5
847,35250700,92288,4.3
848,35250701,75264,4.5
849,35250702,65792,4.2
850,35250703,70144,4.1
851,35250704,66048,4.1
852,35250705,83968,4.6
853,35250706,78848,4.6
854,35250707,71936,3.8
855,35250708,64960,4.2
856,35250709,86784,4.0
857,35250710,94720,3.6
858,35250711,90496,4.1
859,35250712,82688,4.0
860,35250713,86144,4.6
861,35250714,76032,3.9
862,35250715,77056,4.0
863,35250716,94464,3.7
864,35250717,103168,4.1
865,35250718,97536,4.0
866,35250719,102400,3.8
867,35250720,89856,4.1
868,35250721,71680,4.1
869,35250724,109824,3.7
870,35250725,113408,3.9
871,35250726,92160,3.6
872,35250727,86272,4.7
873,35250728,84736,4.4
874,35250729,91904,3.8
875,35250730,68992,3.7
876,35250731,51712,3.9
877,35250732,128768,4.2
878,35250733,108928,4.2
879,35250734,83200,3.8
880,35250735,126208,3.8
881,35250736,116992,3.9
882,35250737,104960,3.8
883,35250738,107520,3.9
884,35250739,99840,3.9
885,35250740,97792,3.8
886,35250741,105216,3.8
887,35250742,106240,3.9
888,35250743,105216,3.4
889,35250744,98688,4.1
890,35250745,93952,3.8
891,35250746,85248,3.6
892,35250747,89856,3.7
893,35250748,85760,4.0
894,35250749,83712,3.7
895,35250750,78080,4.1
896,35250753,98816,4.2
897,35250754,97024,3.9
898,35250755,98560,3.4
899,35250756,85760,4.0
900,35250757,65152,4.0
901,35250758,80128,4.2
902,35250759,77056,3.9
903,35250760,76032,4.1
904,35250761,88960,3.8
905,35250762,75264,3.6
906,35250763,87808,4.0
907,35250764,91904,3.8
908,35250765,85760,3.7
909,35250766,86272,3.9
910,35250767,77056,4.0
911,35250768,78336,3.9
912,35250769,72704,3.6
913,35250770,49536,4.0
914,35250771,72960,3.7
915,35250772,75776,3.5
916,35250773,67584,4.1
917,35250774,67840,3.6
918,35250775,65152,3.6
919,35250776,71936,4.0
920,35250777,84224,3.7
921,35250778,86400,4.1
922,35250779,78592,3.6
923,35250780,84736,3.8
924,35250781,83200,3.5
925,35250782,79744,3.8
926,35250783,94464,3.7
927,35250784,82176,4.0
928,35250785,94720,3.8
929,35250786,104192,4.2
930,35250787,96128,3.5
931,35250788,122112,3.6
932,35250789,108288,3.8
933,35250790,106240,3.8
934,35250791,111104,3.5
935,35250792,97280,3.8
