,geo_code,1 to 4 rooms,5 rooms,6 rooms,7 rooms,8 or more rooms
673,35250501,35,25,30,45,80
674,35250502,10,45,35,35,80
675,35250503,105,45,0,40,50
676,35250504,245,40,20,0,0
677,35250506,25,40,35,35,60
678,35250507,55,50,60,20,40
679,35250508,15,25,30,25,105
680,35250509,45,30,35,25,100
681,35250510,45,25,30,20,90
682,35250511,115,35,65,45,60
683,35250512,90,20,40,15,60
684,35250513,75,60,35,45,45
685,35250514,20,50,70,70,160
686,35250515,0,15,25,0,105
687,35250516,10,15,50,50,170
688,35250517,10,10,20,45,60
689,35250518,10,20,10,15,70
690,35250519,10,55,15,65,100
691,35250520,20,35,65,65,75
692,35250521,10,20,50,50,85
693,35250522,0,0,10,20,60
694,35250523,10,20,25,35,90
695,35250524,10,30,35,20,40
696,35250525,20,10,15,30,80
697,35250526,270,150,55,35,35
698,35250527,0,20,20,70,65
699,35250528,0,20,50,10,95
700,35250529,10,55,30,20,55
701,35250530,20,40,45,20,50
702,35250531,10,15,35,60,55
703,35250532,0,20,20,50,60
704,35250533,290,40,10,10,30
705,35250534,100,40,25,30,40
706,35250535,15,30,45,35,55
707,35250536,105,35,15,30,50
708,35250537,100,30,55,25,70
709,35250538,20,55,45,30,85
710,35250539,40,40,50,45,75
711,35250540,25,40,55,75,65
712,35250541,15,45,35,45,60
713,35250542,50,25,20,45,85
714,35250545,15,25,25,35,55
715,35250546,190,45,10,10,10
716,35250547,20,15,40,10,85
717,35250548,160,50,45,10,35
718,35250549,80,45,30,25,45
719,35250550,15,25,45,45,55
720,35250551,40,60,30,25,55
721,35250552,20,10,60,35,20
722,35250553,30,35,40,25,65
723,35250554,45,40,40,40,30
724,35250555,20,20,35,45,55
725,35250556,30,25,40,65,60
726,35250557,60,75,55,40,60
727,35250558,10,35,45,25,75
728,35250559,15,20,55,30,75
729,35250560,190,55,15,15,55
730,35250561,15,45,30,35,45
731,35250562,40,50,20,40,65
732,35250563,125,55,35,15,35
733,35250564,30,35,45,65,60
734,35250565,25,10,75,65,100
735,35250566,0,45,35,20,65
736,35250567,110,45,10,50,40
737,35250568,150,35,50,25,65
738,35250569,10,0,50,15,105
739,35250570,0,15,20,65,80
740,35250571,150,80,10,15,15
741,35250572,20,45,45,35,65
742,35250573,55,40,55,75,155
743,35250574,0,0,10,35,75
744,35250578,30,50,40,50,55
745,35250579,10,0,10,50,80
746,35250580,30,25,25,0,20
747,35250581,20,40,50,45,110
748,35250582,20,35,75,40,55
749,35250583,10,40,45,15,80
750,35250585,25,0,35,30,85
751,35250586,25,40,70,75,215
752,35250587,0,0,0,40,70
753,35250588,20,15,15,30,75
754,35250589,0,20,25,70,100
755,35250590,0,20,10,35,75
756,35250591,0,25,25,30,140
757,35250592,10,15,40,30,95
758,35250593,0,35,50,10,35
759,35250594,10,15,25,40,105
760,35250595,0,10,10,40,95
761,35250596,10,25,30,75,70
762,35250597,0,20,15,40,65
763,35250598,0,25,30,35,60
764,35250599,145,70,55,0,0
765,35250600,45,15,15,15,55
766,35250601,280,35,30,20,35
767,35250602,135,75,25,20,15
768,35250603,10,0,40,45,150
769,35250604,15,55,55,35,55
770,35250605,10,25,35,25,55
771,35250606,30,20,45,40,75
772,35250607,10,20,60,35,65
773,35250608,15,40,60,15,0
774,35250609,0,30,45,45,65
775,35250610,0,15,25,40,95
776,35250611,20,15,30,35,60
777,35250612,20,35,50,50,75
778,35250613,15,95,120,110,45
779,35250614,0,10,20,20,55
780,35250615,0,10,40,15,75
781,35250616,0,0,25,20,25
782,35250617,25,40,35,35,45
783,35250618,0,15,10,10,50
784,35250619,10,45,25,25,65
785,35250620,0,0,35,25,60
786,35250621,55,35,55,35,115
787,35250622,10,30,60,55,0
788,35250623,10,15,20,45,50
789,35250624,105,15,15,30,75
790,35250625,20,35,35,20,60
791,35250626,10,20,45,60,80
792,35250627,15,25,40,40,55
793,35250628,160,0,15,10,60
794,35250629,190,50,35,40,115
795,35250630,0,10,25,35,75
796,35250631,0,15,55,25,90
797,35250632,210,20,50,10,20
798,35250633,0,0,15,20,60
799,35250634,90,50,60,30,45
800,35250635,10,20,25,40,40
801,35250636,30,30,75,60,120
802,35250637,155,40,60,70,125
803,35250638,0,10,30,10,35
804,35250639,0,20,35,40,95
805,35250640,60,25,25,30,45
806,35250641,10,25,20,30,60
807,35250642,15,60,35,20,45
808,35250643,0,0,15,30,105
809,35250644,0,0,0,15,80
810,35250645,0,0,20,25,150
811,35250646,15,20,50,40,135
812,35250647,20,75,95,20,80
813,35250648,25,65,45,70,105
814,35250649,15,20,65,40,80
815,35250650,35,25,10,25,75
816,35250651,0,0,20,10,75
817,35250652,0,0,40,35,120
818,35250655,20,85,90,85,255
