geo_code,,median_government_transfers_2015,median_income
35250323,female,8480,26304
35250323,male,6032,31008
35250324,female,14667,14592
35250324,male,4696,13536
35250326,female,9760,21856
35250326,male,1300,40320
35250327,female,12128,20128
35250327,male,3560,28032
35250328,female,6160,29376
35250328,male,4888,34688
35250329,female,5312,23168
35250329,male,6288,35200
35250330,female,8336,25792
35250330,male,2216,30016
35250331,female,13328,17856
35250331,male,2520,30464
35250332,female,7184,28672
35250332,male,5768,37504
35250333,female,6832,28224
35250333,male,4256,43008
35250334,female,5184,26848
35250334,male,6000,36736
35250335,female,8608,28128
35250335,male,5472,47872
35250336,female,6688,26475
35250336,male,6864,38560
35250337,female,11296,29312
35250337,male,9248,30656
35250338,female,8960,22976
35250338,male,7760,30880
35250339,female,5392,37248
35250339,male,2408,38400
35250340,female,6096,28608
35250340,male,3688,42112
35250341,female,7088,25280
35250341,male,8272,30528
35250342,female,7056,25600
35250342,male,3312,39232
35250343,female,7200,34304
35250343,male,8416,37760
35250344,female,6800,37568
35250344,male,7728,45184
35250345,female,6096,37760
35250345,male,5680,47488
35250346,female,5904,35968
35250346,male,4240,43136
35250347,female,9568,30528
35250347,male,3832,40064
35250348,female,6976,40064
35250348,male,2916,41280
35250349,female,7472,28000
35250349,male,1988,44928
35250350,female,7584,19328
35250350,male,5552,28992
35250351,female,13264,27072
35250351,male,12544,31072
35250352,female,7072,31104
35250352,male,7088,31552
35250353,female,11472,24000
35250353,male,7792,27072
35250354,female,5048,35712
35250354,male,8368,36288
35250355,female,8688,36608
35250355,male,7824,42368
35250356,female,6368,31168
35250356,male,3984,42880
35250357,female,5536,36096
35250357,male,2408,50304
35250358,female,7776,32384
35250358,male,5488,48256
35250359,female,6752,30400
35250359,male,3224,45696
35250360,female,5104,30656
35250360,male,2456,41856
35250361,female,6256,34304
35250361,male,6096,35712
35250362,female,7088,30400
35250362,male,3432,40704
35250363,female,5440,39744
35250363,male,3424,35328
35250364,female,x,x
35250364,male,x,x
35250365,female,11072,27968
35250365,male,9600,34944
35250366,female,6936,24704
35250366,male,2760,31936
35250367,female,5616,29696
35250367,male,4720,41728
35250368,female,6928,32533
35250368,male,4168,35904
35250369,female,6272,26528
35250369,male,3432,36096
35250370,female,4720,33408
35250370,male,2744,32512
35250371,female,6416,29504
35250371,male,6016,42539
35250372,female,6224,38016
35250372,male,5200,40192
35250373,female,8144,31168
35250373,male,6048,48000
35250374,female,5776,32640
35250374,male,5632,44032
35250375,female,6320,33920
35250375,male,1684,46720
35250376,female,4792,33664
35250376,male,1988,46208
35250377,female,6768,29312
35250377,male,4304,43264
35250378,female,5152,37504
35250378,male,3904,39552
35250379,female,11488,33408
35250379,male,8672,29696
35250380,female,3352,33664
35250380,male,1300,53120
35250381,female,6984,34432
35250381,male,8880,48000
35250382,female,5776,31104
35250382,male,3188,42112
35250383,female,10080,18752
35250383,male,1564,26016
35250384,female,5000,15792
35250384,male,654,19392
35250385,female,4192,32512
35250385,male,1262,32000
35250387,female,3080,51328
35250387,male,902,54144
35250388,female,3352,48256
35250388,male,423,68864
35250389,female,2992,36864
35250389,male,562,46592
35250390,female,1620,33152
35250390,male,598,43648
35250391,female,2488,36224
35250391,male,1348,39424
35250392,female,2680,38912
35250392,male,594,53120
35250393,female,2840,36800
35250393,male,2824,32320
35250394,female,1076,24704
35250394,male,642,30912
35250395,female,9760,19648
35250395,male,2984,27712
35250396,female,7616,26432
35250396,male,2760,33280
35250397,female,600,24640
35250397,male,559,33344
35250398,female,9677,4656
35250398,male,9713,6632
35250399,female,11061,6960
35250399,male,10648,10656
35250400,female,2888,24000
35250400,male,2664,24192
