,geo_code,Income (M),Government Transfer (M)
1008,35250891,74240,423
1009,35250892,58688,624
1010,35250893,44160,1300
1011,35250894,47744,6384
1012,35250895,35712,1572
1013,35250896,34773,1448
1014,35250897,46976,5440
1015,35250898,45952,5040
1016,35250899,39296,1676
1017,35250900,44800,1316
1018,35250901,57024,7504
1019,35250902,52736,1244
1020,35250903,39744,4112
1021,35250904,43904,7008
1022,35250905,40576,6896
1023,35250906,50112,4048
1024,35250907,35072,3176
1025,35250908,40320,1424
1026,35250909,59648,559
1027,35250910,43648,843
1028,35250911,59008,560
1029,35250912,53504,578
1030,35250913,35328,1500
1031,35250914,33984,12064
1032,35250918,1081,15086
1033,35250919,43968,2888
1034,35250920,57515,1316
1035,35250921,32768,6048
1036,35250922,27584,5520
1037,35250923,45952,3816
1038,35250924,38400,3752
1039,35250925,39296,6800
1040,35250928,30016,5061
1041,35250929,37248,1132
1042,35250930,51136,1900
1043,35250931,41984,3288
1044,35250932,41856,12768
1045,35250933,48512,4944
1046,35250934,46976,788
1047,35250935,21952,14868
1048,35250936,41088,6128
1049,35250937,50944,7768
1050,35250938,53696,1644
1051,35250939,44032,6720
1052,35250940,42112,8608
1053,35250941,45184,1916
1054,35250942,39552,1288
1055,35250943,49280,2052
1056,35250944,57856,668
1057,35250945,56064,806
1058,35250946,45440,5648
1059,35250947,48256,6096
1060,35250948,56192,712
1061,35250949,71424,694
1062,35250950,64128,554
1063,35250951,58496,457
1064,35250952,61077,572
1065,35250953,23392,6096
1066,35250954,27712,4656
1067,35250955,16512,3856
1068,35250956,8672,12896
1069,35250957,29504,2616
1070,35250958,32544,3088
1071,35250959,28352,1436
1072,35250960,20800,6336
1073,35250961,29056,2992
1074,35250962,21440,818
1075,35250963,24640,1569
1076,35250964,26496,1488
1077,35250965,36608,619
1078,35250966,0,0
1079,35250967,57408,7632
1080,35250968,17984,1044
1081,35250969,20928,1260
1082,35250970,26816,1006
1083,35250971,46272,3096
1084,35250972,39040,7152
1085,35250973,40576,3640
1086,35250974,32448,4272
1087,35250975,35392,3240
1088,35250976,41216,6392
1089,35250978,55872,876
1090,35250980,38784,3848
1091,35250981,53824,731
1092,35250982,654,15344
1093,35250983,40064,4304
1094,35250985,52224,742
1095,35250986,75008,646
1096,35250987,51328,2824
1097,35250988,36224,1108
1098,35250989,36672,1044
1099,35250990,25152,4816
1100,35250991,33664,6160
1101,35250992,48832,1434
1102,35250993,0,0
1103,35250994,49280,937
1104,35250995,26560,6480
1105,35250996,56704,1436
1106,35250997,22848,14629
1107,35250998,46848,8448
1108,35250999,55232,4816
1109,35251000,49280,1912
1110,35251001,39680,694
1111,35251002,43648,1148
1112,35251003,64384,1876
1113,35251004,44544,1204
1114,35251005,77824,559
1115,35251006,61440,3836
1116,35251007,62848,637
1117,35251008,49536,4152
1118,35251009,47232,558
1119,35251010,62400,588
1120,35251011,53632,1244
1121,35251012,52480,1084
1122,35251013,64128,559
1123,35251014,57984,2344
1124,35251015,53760,602
1125,35251016,53632,838
1126,35251017,49536,491
1127,35251018,34176,1148
1128,35251019,56704,894
1129,35251020,56704,658
1130,35251021,61632,559
1131,35251022,63360,860
1132,35251023,68480,646
1133,35251024,62976,990
1134,35251025,21184,6176
1135,35251026,40576,8608
1136,35260307,58368,1984
1137,35260309,54016,1780
1138,35260310,44416,6896
1139,35260311,43392,8656
1140,35260313,45184,8416
1141,35260314,41344,8320
1142,35260315,47744,7280
1143,35260316,41088,1980
1144,35260317,44032,5520
1145,35260318,37248,4800
1146,35260319,28992,11712
1147,35260320,37824,5104
1148,35260321,33280,11424
1149,35260322,44416,8144
1150,35260323,50048,11136
1151,35260324,47680,7312
1152,35260325,25024,10528
1153,35260326,47488,7840
1154,35260327,42624,8544
1155,35260328,73984,8768
1156,35260330,47744,2827
1157,35260332,39296,2240
1158,35260333,36779,2216
1159,35260334,40064,1876
1160,35260335,59584,1276
1161,35260336,60928,2104
1162,35260337,46592,8544
1163,35260338,56021,1564
