geo_code,,"under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 to $149,999","$150,000 and over"
35240499,female,20,20,15,5,20,5,5,15,0,5,5,5
35240499,male,20,10,10,5,10,15,15,10,10,5,20,5
35240501,female,30,15,10,15,10,5,5,5,5,5,0,0
35240501,male,10,10,5,10,10,10,10,5,5,0,15,5
35240503,female,30,40,25,20,15,15,15,5,0,10,10,0
35240503,male,25,25,25,25,15,15,10,10,5,15,15,5
35240504,female,25,35,25,15,20,15,10,10,5,5,5,5
35240504,male,15,15,20,10,20,10,15,10,15,10,15,5
35240505,female,45,70,35,30,20,25,10,5,5,5,10,0
35240505,male,35,25,25,25,10,10,15,15,15,5,20,10
35240506,female,30,25,20,15,20,15,20,15,10,10,5,5
35240506,male,15,25,20,10,15,15,15,5,10,15,25,5
35240507,female,35,50,40,15,20,10,15,10,0,15,15,5
35240507,male,35,20,25,25,25,15,20,10,10,10,25,10
35240508,female,45,50,30,45,30,20,25,10,15,0,15,5
35240508,male,25,30,40,30,25,15,10,15,15,10,35,25
35240509,female,40,40,45,40,25,25,15,5,15,10,20,0
35240509,male,25,25,25,20,30,15,20,15,15,10,25,5
35240512,female,25,15,35,25,20,15,5,5,5,5,10,0
35240512,male,15,20,15,20,15,15,5,10,10,5,10,5
35240513,female,25,30,40,35,25,20,10,15,10,5,5,5
35240513,male,20,25,10,10,20,15,20,15,10,5,20,0
35240516,female,45,35,20,25,20,25,20,5,10,10,25,10
35240516,male,20,25,10,15,10,10,20,15,10,15,50,45
35240517,female,30,30,20,20,15,20,20,10,15,15,15,5
35240517,male,25,20,20,10,15,10,10,5,10,10,30,15
35240518,female,40,40,30,40,20,20,20,10,10,10,10,5
35240518,male,25,25,25,20,20,20,15,5,10,15,45,35
35240519,female,25,25,30,15,15,15,10,10,10,5,10,5
35240519,male,15,15,15,15,15,10,15,10,10,10,20,15
35240520,female,65,55,35,30,35,25,15,15,15,10,15,5
35240520,male,35,35,20,25,15,30,30,15,15,15,35,15
35240521,female,30,35,45,35,30,20,15,15,5,15,20,5
35240521,male,30,15,15,20,20,15,15,15,20,15,35,35
35240522,female,15,35,20,20,25,15,5,10,15,5,20,5
35240522,male,15,20,20,15,10,15,10,10,15,10,25,25
35240523,female,35,35,15,20,15,20,10,10,5,10,15,15
35240523,male,25,15,10,15,15,10,15,10,10,10,25,30
35240524,female,30,30,15,15,15,15,15,10,10,10,25,25
35240524,male,20,20,10,5,10,5,10,10,5,5,30,55
35240525,female,30,40,25,30,20,15,10,10,10,15,20,15
35240525,male,25,30,15,15,10,10,10,10,10,10,30,55
35240526,female,10,25,15,10,5,20,5,10,5,5,5,5
35240526,male,10,10,10,5,5,5,5,5,15,10,20,10
35240528,female,20,30,15,20,25,20,10,5,5,5,5,5
35240528,male,25,20,15,15,15,15,15,15,5,10,15,5
35240529,female,35,25,15,20,25,5,10,10,10,5,10,5
35240529,male,15,20,15,15,15,15,10,15,15,10,30,5
35240530,female,30,40,20,15,20,10,15,10,5,5,10,0
35240530,male,15,15,15,20,15,15,15,10,10,10,20,10
35240531,female,25,30,20,20,15,20,10,15,5,5,5,5
35240531,male,30,20,10,15,15,15,15,10,10,10,25,15
35240532,female,65,65,70,60,60,40,45,35,35,20,25,0
35240532,male,40,50,45,35,50,50,45,30,25,25,60,20
35240533,female,20,25,20,15,15,15,15,0,10,0,5,0
35240533,male,20,15,10,15,10,15,5,10,5,5,15,5
35240534,female,20,40,30,15,20,10,5,5,5,5,0,5
35240534,male,30,25,15,30,15,10,10,5,10,5,15,0
35240535,female,30,35,30,20,30,15,10,5,10,5,0,0
35240535,male,25,25,30,15,20,15,15,15,15,10,15,10
