geo_code,,"Car, truck, van - as a driver","Car, truck, van - as a passenger",Public transit,Walked,Bicyle,Other
35240685,female,220,20,40,10,0,0
35240685,male,240,0,35,0,0,0
35240686,female,230,20,55,0,0,10
35240686,male,250,10,40,10,0,0
35240756,female,135,20,25,0,0,10
35240756,male,155,0,30,10,0,0
35240757,female,125,10,10,15,0,0
35240757,male,120,10,10,0,0,0
35240758,female,190,15,0,20,0,0
35240758,male,215,10,25,10,10,0
35240759,female,75,0,0,10,0,0
35240759,male,95,10,20,0,0,0
35240780,female,210,10,25,10,0,0
35240780,male,210,0,10,15,0,0
35240782,female,145,15,10,15,0,0
35240782,male,150,15,25,10,0,0
35240783,female,65,0,0,0,0,0
35240783,male,60,0,0,0,0,0
35240785,female,155,20,15,0,0,0
35240785,male,190,10,25,0,0,10
35240807,female,170,20,35,10,0,0
35240807,male,155,10,25,20,10,0
35240808,female,110,10,10,10,0,0
35240808,male,110,10,0,10,0,0
35240809,female,10,0,0,0,0,0
35240809,male,10,0,0,0,0,0
35240898,female,530,45,100,25,0,0
35240898,male,640,40,105,15,10,0
35240903,female,x,x,x,x,x,x
35240903,male,x,x,x,x,x,x
35240904,female,235,20,85,15,0,10
35240904,male,260,15,100,10,10,0
35250030,female,70,10,10,0,0,0
35250030,male,80,0,10,0,0,0
35250031,female,85,0,15,0,0,0
35250031,male,90,10,10,0,0,0
35250032,female,90,20,0,0,0,0
35250032,male,150,0,10,0,0,0
35250033,female,95,10,10,0,0,0
35250033,male,130,10,10,0,10,0
35250034,female,150,10,15,10,0,0
35250034,male,180,10,10,0,0,0
35250035,female,100,20,10,10,0,0
35250035,male,105,10,15,0,0,0
35250036,female,115,10,0,0,0,0
35250036,male,120,0,0,0,10,0
35250037,female,85,10,10,10,0,0
35250037,male,90,15,10,10,20,0
35250038,female,75,0,25,30,0,0
35250038,male,95,10,10,20,0,0
35250039,female,65,20,10,20,10,0
35250039,male,65,0,10,0,0,0
35250040,female,50,10,10,10,10,0
35250040,male,55,10,0,10,0,0
35250041,female,65,10,10,15,0,0
35250041,male,95,10,0,0,0,0
35250042,female,25,10,0,20,0,10
35250042,male,55,0,0,0,0,0
35250043,female,105,0,20,10,0,0
35250043,male,120,15,10,0,0,0
35250044,female,55,0,0,10,0,0
35250044,male,60,0,10,0,0,0
35250045,female,50,10,30,10,0,0
35250045,male,90,10,15,10,10,0
35250046,female,55,10,20,10,10,0
35250046,male,115,15,0,10,10,0
35250047,female,60,10,15,0,10,0
35250047,male,85,15,15,10,0,10
35250048,female,40,0,10,0,0,0
35250048,male,40,0,10,10,0,0
35250049,female,85,0,10,0,0,10
35250049,male,80,0,10,0,0,0
35250050,female,110,0,0,0,0,0
35250050,male,60,0,10,0,0,0
35250051,female,265,15,10,10,0,0
35250051,male,245,15,25,0,10,0
35250052,female,50,20,0,0,0,0
35250052,male,65,0,0,0,0,0
35250053,female,130,10,0,0,0,0
35250053,male,145,10,0,0,15,0
35250054,female,60,15,0,10,0,0
35250054,male,65,10,0,10,0,0
35250055,female,165,15,10,0,0,0
35250055,male,115,15,25,10,0,0
35250056,female,40,0,0,0,0,0
35250056,male,50,0,0,0,0,0
35250059,female,225,40,10,0,0,0
35250059,male,265,20,20,10,0,0
35250060,female,125,10,0,0,0,0
35250060,male,100,10,0,0,0,0
35250061,female,50,10,10,0,0,0
35250061,male,70,10,10,0,0,0
35250062,female,105,15,0,0,0,0
35250062,male,125,0,0,10,0,0
35250064,female,160,0,10,10,0,0
35250064,male,140,10,10,0,0,0
35250065,female,105,0,10,10,0,10
35250065,male,115,10,0,0,0,0
35250066,female,70,10,0,0,0,0
35250066,male,70,10,0,0,0,0
35250067,female,115,10,0,10,0,0
35250067,male,135,0,10,0,0,0
35250070,female,75,10,0,10,0,0
35250070,male,95,10,0,10,0,0
35250073,female,100,20,15,0,0,0
35250073,male,70,20,15,0,0,0
35250074,female,55,0,10,0,0,0
35250074,male,45,0,10,0,0,0
35250075,female,65,15,10,0,0,0
35250075,male,105,15,0,10,0,0
35250077,female,80,30,30,10,0,0
35250077,male,100,10,10,0,0,0
35250078,female,85,0,15,0,0,0
35250078,male,95,0,0,0,10,0
35250079,female,35,0,0,0,0,0
35250079,male,50,0,10,0,0,0
35250080,female,95,20,15,0,0,10
35250080,male,100,15,10,10,0,0
35250081,female,160,20,55,10,0,0
35250081,male,185,15,40,0,0,0
35250082,female,45,0,0,0,0,0
35250082,male,35,0,10,0,0,0
35250083,female,80,0,30,0,0,10
35250083,male,85,0,10,0,0,10
35250084,female,40,0,10,0,0,0
35250084,male,70,10,0,0,0,0
35250085,female,50,15,10,0,0,0
35250085,male,70,10,10,0,0,0
35250086,female,80,15,10,0,0,0
35250086,male,70,15,0,0,0,0
35250087,female,80,0,10,0,0,0
35250087,male,85,10,15,0,0,0
35250088,female,75,0,10,0,0,0
35250088,male,55,0,10,0,0,0
35250089,female,105,25,10,0,0,0
35250089,male,70,10,10,10,0,0
35250093,female,80,10,25,0,0,0
35250093,male,120,0,15,0,0,0
35250094,female,60,0,20,0,0,0
35250094,male,60,10,10,10,0,0
35250095,female,75,0,10,0,0,0
35250095,male,95,0,0,10,10,0
35250096,female,115,0,20,10,0,0
35250096,male,105,10,20,0,0,0
35250097,female,55,10,10,0,0,0
35250097,male,45,0,10,0,0,0
35250098,female,35,0,0,0,0,0
35250098,male,35,0,0,0,10,0
35250099,female,140,0,10,10,0,10
35250099,male,140,25,10,20,10,0
35250100,female,100,0,20,0,0,0
35250100,male,80,10,10,10,0,0
35250101,female,70,10,10,0,0,10
35250101,male,85,30,0,10,0,0
35250102,female,40,0,0,0,0,0
35250102,male,50,15,0,0,10,10
35250105,female,90,10,10,0,0,0
35250105,male,135,0,10,10,0,10
35250106,female,80,0,10,0,0,0
35250106,male,85,20,0,10,0,0
35250107,female,115,10,10,10,0,0
35250107,male,90,20,10,0,0,10
35250108,female,55,0,10,0,0,0
35250108,male,90,20,15,0,0,0
35250109,female,115,10,15,0,0,0
35250109,male,110,0,10,10,0,10
35250110,female,95,10,10,0,0,0
35250110,male,120,0,10,0,0,0
35250111,female,55,20,15,0,0,0
35250111,male,65,0,10,0,0,0
35250112,female,40,20,0,10,0,0
35250112,male,70,0,0,0,0,0
35250113,female,45,10,0,0,0,0
35250113,male,80,10,10,0,0,10
35250114,female,40,25,10,0,0,0
35250114,male,70,0,0,0,0,0
35250115,female,220,15,85,15,0,0
35250115,male,210,25,65,15,0,0
35250116,female,140,30,30,0,0,10
35250116,male,160,10,0,0,0,10
35250117,female,45,10,0,0,0,0
35250117,male,40,0,0,0,0,0
35250118,female,70,10,20,0,0,0
35250118,male,70,10,0,0,0,0
35250119,female,85,10,15,0,0,10
35250119,male,90,10,15,10,0,0
35250120,female,75,10,25,0,0,0
35250120,male,75,10,10,10,0,0
35250121,female,110,10,35,0,0,0
35250121,male,65,0,10,0,0,0
35250122,female,50,15,10,0,0,0
35250122,male,65,0,0,0,0,0
35250123,female,60,0,10,0,0,0
35250123,male,95,10,0,0,10,0
35250124,female,70,20,10,0,0,0
35250124,male,65,15,0,0,0,0
35250125,female,60,0,10,10,0,0
35250125,male,70,0,10,0,0,0
35250126,female,60,15,20,10,0,0
35250126,male,125,10,10,0,0,0
35250127,female,305,30,40,20,0,0
35250127,male,345,10,50,0,0,0
35250128,female,85,15,20,0,0,0
35250128,male,120,0,15,0,0,0
35250129,female,75,10,0,0,0,0
35250129,male,85,10,0,10,0,0
35250130,female,75,10,20,0,0,0
35250130,male,90,10,10,0,0,0
35250133,female,0,0,0,0,0,0
35250133,male,15,0,0,0,0,0
35250134,female,130,10,0,0,0,0
35250134,male,130,10,0,10,0,0
35250135,female,345,45,45,10,0,0
35250135,male,405,10,25,10,0,10
35250136,female,70,15,10,0,0,0
35250136,male,55,0,0,0,0,0
35250137,female,75,10,0,15,0,0
35250137,male,65,0,0,10,0,0
35250144,female,305,25,20,10,0,0
35250144,male,350,25,20,0,0,10
35250145,female,120,0,10,0,0,0
35250145,male,100,10,0,0,0,0
35250146,female,130,0,10,0,0,0
35250146,male,200,10,10,0,0,0
35250147,female,55,10,0,10,0,0
35250147,male,70,0,0,0,0,0
35250148,female,110,10,0,0,0,0
35250148,male,125,0,20,0,0,0
35250149,female,100,20,10,0,0,0
35250149,male,110,20,0,0,0,0
35250150,female,100,10,0,15,0,0
35250150,male,115,10,0,10,0,0
35250151,female,75,10,0,0,0,0
35250151,male,90,0,10,10,0,0
35250152,female,235,15,0,0,0,0
35250152,male,280,0,10,10,0,10
35250153,female,110,0,0,0,0,0
35250153,male,130,25,0,0,10,0
35250156,female,70,0,0,0,0,0
35250156,male,95,0,0,0,0,0
35250158,female,70,15,0,0,0,0
35250158,male,130,0,0,0,0,0
35250159,female,70,0,0,0,0,0
35250159,male,90,0,0,0,0,0
35250160,female,75,0,0,0,0,0
35250160,male,65,0,0,0,0,0
35250161,female,135,0,0,0,10,10
35250161,male,140,20,10,10,0,0
35250162,female,115,10,0,0,0,0
35250162,male,110,0,0,0,0,0
35250163,female,65,0,0,0,0,10
35250163,male,120,0,10,0,0,10
35250164,female,70,10,10,0,0,0
35250164,male,75,0,10,10,0,10
35250172,female,90,0,0,0,0,0
35250172,male,90,15,0,0,0,0
35250173,female,305,15,0,0,0,0
35250173,male,275,10,10,10,0,0
35250175,female,310,20,30,0,0,0
35250175,male,360,30,25,0,0,0
35250176,female,120,25,10,10,0,0
35250176,male,200,10,10,10,0,0
35250177,female,145,0,10,0,0,0
