,geo_code,married,common_law,not_married_or_common_law,never_married,separated,divorced,widowed
718,35250549,140,60,260,160,25,45,30
719,35250550,195,30,170,110,10,25,30
720,35250551,180,40,210,130,20,25,40
721,35250552,135,10,180,140,15,25,10
722,35250553,205,20,210,150,15,30,20
723,35250554,140,70,195,115,20,35,30
724,35250555,130,45,180,115,10,25,25
725,35250556,205,55,195,140,15,25,20
726,35250557,190,60,285,185,30,30,40
727,35250558,170,45,205,125,15,25,35
728,35250559,175,50,190,110,10,25,40
729,35250560,180,30,285,105,25,60,95
730,35250561,160,40,125,80,15,15,20
731,35250562,205,50,205,130,10,40,25
732,35250563,135,90,255,180,20,35,25
733,35250564,200,60,185,115,10,35,35
734,35250565,305,45,230,150,20,30,35
735,35250566,190,40,155,100,5,20,35
736,35250567,215,30,215,110,30,45,35
737,35250568,175,70,300,160,40,50,50
738,35250569,215,5,165,105,15,15,35
739,35250570,220,35,175,110,5,25,35
740,35250571,165,15,220,65,15,50,85
741,35250572,220,35,220,140,20,30,35
742,35250573,580,20,405,280,20,40,65
743,35250574,210,15,150,115,10,10,20
744,35250578,240,60,290,210,25,40,20
745,35250579,195,15,185,145,10,15,15
746,35250580,85,15,155,110,10,30,0
747,35250581,330,40,310,230,25,35,20
748,35250582,220,75,210,150,15,35,10
749,35250583,235,40,200,155,15,15,5
750,35250585,250,25,200,145,15,20,20
751,35250586,695,55,460,370,15,25,45
752,35250587,185,15,95,75,5,10,10
753,35250588,215,10,145,100,10,20,15
754,35250589,340,25,230,175,15,15,20
755,35250590,185,15,140,100,10,10,20
756,35250591,360,35,220,180,5,15,20
757,35250592,230,20,190,130,15,25,20
758,35250593,200,30,280,130,20,30,105
759,35250594,275,20,230,160,15,25,35
760,35250595,215,20,160,115,10,10,25
761,35250596,260,45,210,150,10,20,35
762,35250597,165,10,155,95,15,15,30
763,35250598,155,40,175,125,10,20,25
764,35250599,175,30,230,80,15,40,95
765,35250600,140,45,150,110,10,25,10
766,35250601,135,55,365,120,25,110,110
767,35250602,170,30,245,100,25,40,80
768,35250603,330,40,210,145,15,15,40
769,35250604,215,35,170,85,15,20,45
770,35250605,160,25,195,145,10,20,25
771,35250606,260,30,180,110,5,15,50
772,35250607,215,35,160,110,10,20,20
773,35250608,95,35,185,140,15,25,5
774,35250609,205,40,190,140,15,30,10
775,35250610,235,40,165,115,10,15,20
776,35250611,185,40,180,125,10,25,20
777,35250612,170,60,270,190,25,30,20
778,35250613,320,100,420,275,50,70,30
779,35250614,155,25,125,85,10,10,20
780,35250615,195,20,140,100,0,15,25
781,35250616,80,25,110,75,5,20,10
782,35250617,155,25,195,130,10,25,25
783,35250618,125,15,95,70,5,5,15
784,35250619,215,30,160,105,10,20,25
785,35250620,200,20,130,105,5,5,15
786,35250621,260,35,320,185,30,45,60
787,35250622,110,60,165,100,20,30,5
788,35250623,175,25,135,95,10,20,10
789,35250624,215,30,445,120,25,90,205
790,35250625,170,20,150,100,10,15,25
791,35250626,235,30,205,130,15,20,45
792,35250627,230,25,185,140,10,15,25
793,35250628,145,15,240,75,10,75,80
794,35250629,360,35,410,215,30,55,115
795,35250630,225,10,165,135,10,10,20
796,35250631,230,30,170,105,5,25,40
797,35250632,165,70,305,185,35,60,35
798,35250633,135,10,80,50,5,5,20
799,35250634,190,45,345,210,40,55,40
800,35250635,155,20,135,95,10,15,10
801,35250636,435,50,280,210,10,30,25
802,35250637,570,60,500,315,25,35,120
803,35250638,105,10,115,75,10,20,10
804,35250639,275,35,230,185,15,20,10
805,35250640,255,20,205,145,10,25,30
806,35250641,200,20,140,90,10,25,15
807,35250642,220,15,360,185,20,40,115
808,35250643,255,15,210,175,5,15,10
809,35250644,170,10,100,85,0,10,10
810,35250645,315,20,190,150,10,10,20
811,35250646,410,30,265,215,10,25,20
812,35250647,340,45,315,235,25,35,20
813,35250648,325,45,410,285,35,55,30
814,35250649,250,15,280,215,20,20,20
815,35250650,245,30,290,160,15,35,75
816,35250651,150,10,100,90,5,0,10
817,35250652,340,30,230,175,10,15,30
818,35250655,845,65,515,400,25,45,45
819,35250656,165,35,210,140,25,35,10
820,35250657,325,20,205,170,15,10,20
821,35250658,150,10,85,75,5,5,10
822,35250659,235,25,250,185,20,20,20
823,35250661,565,40,385,300,20,30,35
824,35250662,805,60,535,430,25,40,40
825,35250663,315,45,270,215,10,30,20
826,35250664,180,25,170,95,20,20,30
827,35250665,220,30,175,110,15,25,30
828,35250666,190,40,145,80,15,25,30
829,35250667,55,15,145,110,10,20,5
830,35250668,90,15,220,170,10,20,25
831,35250669,70,20,235,205,5,15,10
832,35250670,115,5,155,135,0,10,0
833,35250671,80,20,165,130,5,20,15
834,35250672,90,15,220,195,0,15,10
835,35250675,105,35,245,200,10,10,20
836,35250676,145,15,170,140,10,10,5
837,35250677,205,20,135,100,5,10,10
838,35250678,205,20,130,95,5,15,15
839,35250679,140,30,360,320,5,15,20
840,35250680,115,25,275,230,5,20,15
841,35250681,270,45,420,325,20,35,40
842,35250692,110,55,225,150,20,35,20
843,35250693,100,35,195,135,20,25,15
844,35250694,105,25,195,135,25,30,15
845,35250695,125,30,165,125,15,15,10
846,35250696,70,40,215,150,25,20,15
847,35250700,130,65,230,165,15,35,15
848,35250701,125,55,245,155,25,30,35
849,35250702,135,70,220,150,20,30,15
850,35250703,120,60,220,145,20,30,20
851,35250704,125,80,255,180,15,35,20
852,35250705,130,70,220,140,20,30,25
853,35250706,85,75,215,140,20,40,15
854,35250707,120,50,180,120,15,30,20
855,35250708,145,70,320,195,35,65,25
856,35250709,125,75,205,140,15,30,20
857,35250710,120,65,185,125,20,20,15
858,35250711,115,45,135,100,5,15,15
859,35250712,125,50,145,95,10,20,15
860,35250713,100,65,160,105,15,20,20
861,35250714,120,70,230,155,10,45,20
862,35250715,120,75,225,145,15,35,15
863,35250716,130,80,285,195,25,45,15
864,35250717,120,50,240,150,25,40,20
865,35250718,100,55,180,130,10,25,15
866,35250719,95,50,225,155,15,35,15
867,35250720,125,60,305,215,25,45,20
868,35250721,135,80,290,215,15,45,15
869,35250724,150,65,225,170,15,30,15
870,35250725,165,60,160,105,20,20,15
871,35250726,160,90,245,165,30,40,10
872,35250727,140,40,155,75,20,30,35
873,35250728,135,55,220,155,15,40,10
874,35250729,95,50,215,135,20,50,10
875,35250730,155,55,370,180,40,75,70
876,35250731,120,60,330,190,35,65,30
877,35250732,180,35,190,100,10,25,55
878,35250733,235,60,195,130,15,20,25
879,35250734,155,65,235,165,15,35,15
880,35250735,195,45,165,110,5,30,15
881,35250736,200,50,205,140,15,30,20
882,35250737,175,45,155,100,10,20,30
883,35250738,195,60,180,120,20,25,15
884,35250739,160,75,215,135,20,40,20
885,35250740,195,80,255,115,25,40,75
886,35250741,190,70,180,100,10,40,35
887,35250742,170,70,190,125,15,35,25
888,35250743,150,50,170,100,20,20,25
889,35250744,225,50,315,180,40,50,45
890,35250745,145,60,195,120,15,30,30
891,35250746,105,35,175,100,20,30,25
892,35250747,95,35,205,135,15,30,25
893,35250748,140,55,170,110,20,30,15
894,35250749,155,40,225,140,15,40,30
895,35250750,150,70,200,105,25,40,30
896,35250753,135,50,200,130,15,30,25
897,35250754,135,60,180,125,10,25,20
898,35250755,120,65,170,110,15,35,20
899,35250756,160,70,185,130,15,25,20
900,35250757,105,65,215,125,30,40,20
901,35250758,75,55,210,110,20,45,30
902,35250759,160,65,200,130,15,35,20
903,35250760,115,75,210,125,20,35,15
904,35250761,155,45,195,130,10,25,30
905,35250762,150,75,255,165,20,45,25
906,35250763,135,65,215,130,20,40,25
907,35250764,140,45,195,125,15,30,25
908,35250765,125,60,225,140,15,40,35
909,35250766,115,40,265,155,40,45,30
910,35250767,115,50,205,130,25,30,25
911,35250768,135,70,205,130,15,35,20
912,35250769,120,45,210,135,25,30,25
913,35250770,110,65,235,145,25,45,20
914,35250771,115,75,235,165,15,35,20
915,35250772,115,45,190,125,20,35,10
916,35250773,135,80,240,170,15,40,20
917,35250774,115,60,210,120,15,45,30
918,35250775,95,45,255,165,15,45,25
919,35250776,80,55,205,125,20,45,20
920,35250777,140,65,215,135,20,45,15
921,35250778,110,50,190,110,15,40,20
922,35250779,130,40,150,105,10,30,15
923,35250780,105,75,195,135,15,35,15
924,35250781,85,75,185,120,20,30,15
925,35250782,115,50,180,125,20,25,20
926,35250783,135,65,245,165,25,30,30
927,35250784,120,75,190,125,20,30,15
928,35250785,145,65,185,110,25,30,20
929,35250786,160,55,240,145,25,35,35
930,35250787,220,95,270,155,25,50,35
931,35250788,165,70,235,140,15,50,30
932,35250789,195,55,210,130,10,45,35
933,35250790,210,70,190,125,15,35,20
934,35250791,170,30,160,95,15,30,20
935,35250792,175,70,220,155,20,30,20
936,35250793,180,40,205,130,15,25,30
937,35250798,60,45,170,130,15,20,10
938,35250799,120,40,240,180,20,30,15
939,35250800,115,55,240,170,20,35,25
940,35250801,215,70,470,260,45,100,60
941,35250802,135,65,160,110,5,30,20
942,35250803,185,35,125,70,15,30,10
943,35250804,1190,160,570,380,40,100,50
944,35250805,595,65,290,205,20,40,25
945,35250806,215,25,150,120,10,10,10
946,35250807,450,60,350,260,25,35,35
947,35250810,440,40,245,170,15,20,35
948,35250812,225,30,120,85,10,10,15
949,35250813,260,30,135,110,10,10,10
950,35250814,255,30,130,95,10,15,15
951,35250815,750,95,345,210,25,45,70
952,35250826,410,40,250,170,20,35,20
953,35250827,130,35,110,55,10,25,15
954,35250828,165,30,75,45,5,15,5
955,35250829,175,30,195,105,20,40,25
956,35250830,165,35,240,150,20,35,30
957,35250831,595,75,615,215,40,105,255
958,35250832,190,25,455,80,20,75,270
959,35250833,170,30,120,80,10,15,20
960,35250834,185,20,125,90,10,15,15
961,35250835,200,20,140,80,5,30,20
962,35250836,160,50,140,80,15,30,15
963,35250843,460,65,395,285,20,55,35
964,35250845,335,170,975,520,105,250,105
965,35250846,245,45,610,175,50,175,215
966,35250847,110,70,385,300,20,40,20
967,35250848,370,75,590,350,25,65,155
968,35250849,585,50,395,280,25,45,40
969,35250850,380,100,435,245,50,75,65
970,35250851,925,130,1010,565,75,205,160
971,35250852,595,200,810,440,95,185,90
972,35250853,400,50,525,375,35,75,45
973,35250854,215,80,620,490,35,65,25
974,35250855,360,55,500,395,25,50,25
975,35250857,205,55,235,150,30,35,25
976,35250859,410,25,320,160,15,15,130
977,35250860,895,65,775,490,45,80,160
978,35250861,235,10,135,110,5,5,10
979,35250862,265,45,155,110,5,20,20
980,35250863,205,30,160,110,5,25,20
981,35250864,240,35,165,100,10,20,30
982,35250865,265,70,165,105,10,35,15
983,35250866,255,45,175,125,10,30,15
984,35250867,270,35,135,105,5,15,10
985,35250868,220,25,105,85,5,10,10
986,35250869,295,15,105,90,5,5,10
987,35250870,410,15,215,165,10,20,20
988,35250871,300,30,120,90,10,10,10
989,35250872,365,35,190,160,15,10,10
990,35250873,335,50,170,135,10,5,15
991,35250874,340,40,235,180,10,30,20
992,35250875,365,35,235,165,20,25,30
993,35250876,245,25,125,100,10,15,5
994,35250877,260,25,250,115,15,20,100
995,35250878,255,25,145,100,10,20,15
996,35250879,300,55,250,140,20,60,30
997,35250880,180,45,215,125,20,35,35
998,35250881,190,55,320,140,40,60,85
999,35250882,400,40,255,165,15,30,50
1000,35250883,225,55,170,115,20,25,5
1001,35250884,290,15,150,125,5,10,10
1002,35250885,270,20,135,105,10,10,10
1003,35250886,235,45,140,105,10,15,10
1004,35250887,340,35,200,150,10,25,15
1005,35250888,265,30,135,100,5,15,10
1006,35250889,240,40,140,95,10,30,5
1007,35250890,220,20,120,100,5,5,5
1008,35250891,260,20,120,105,5,5,10
1009,35250892,1260,230,590,390,75,85,45
1010,35250893,255,55,175,135,10,10,20
1011,35250894,235,35,140,105,10,10,15
1012,35250895,280,55,165,120,10,10,25
1013,35250896,185,45,160,105,10,25,20
1014,35250897,310,40,140,100,5,5,20
1015,35250898,235,30,140,105,5,15,15
1016,35250899,240,40,130,95,5,15,15
1017,35250900,205,25,95,75,5,5,10
1018,35250901,280,25,150,115,5,15,20
1019,35250902,245,15,125,90,5,15,15
1020,35250903,315,30,155,120,5,15,15
1021,35250904,310,35,155,110,5,10,20
1022,35250905,265,45,160,100,10,25,30
1023,35250906,300,30,165,120,10,25,15
1024,35250907,240,10,150,105,5,15,25
