geo_code,,less than 15 minutes,15 to 29 minutes,30 to 44 minutes,45 to 59 minutes,60 minutes and over
35240783,male,0,10,30,10,15
35240785,female,60,85,20,10,15
35240785,male,60,50,35,45,35
35240807,female,75,95,25,20,35
35240807,male,45,65,35,15,60
35240808,female,30,45,30,10,20
35240808,male,25,40,10,10,35
35240809,female,0,10,0,0,0
35240809,male,0,10,0,0,10
35240898,female,185,240,105,70,110
35240898,male,195,225,165,75,145
35240903,female,x,x,x,x,x
35240903,male,x,x,x,x,x
35240904,female,90,130,30,20,95
35240904,male,75,110,70,55,75
35250030,female,20,35,10,10,10
35250030,male,15,20,20,25,15
35250031,female,15,50,10,15,10
35250031,male,0,55,10,0,25
35250032,female,40,45,20,0,10
35250032,male,35,60,25,20,25
35250033,female,45,40,10,15,0
35250033,male,25,50,45,20,10
35250034,female,80,60,20,20,10
35250034,male,40,60,30,40,25
35250035,female,15,60,20,10,10
35250035,male,10,30,30,30,20
35250036,female,30,55,25,10,10
35250036,male,25,40,25,20,25
35250037,female,35,60,15,10,0
35250037,male,25,65,20,25,20
35250038,female,55,40,20,0,25
35250038,male,25,45,40,0,20
35250039,female,50,40,15,10,10
35250039,male,10,15,20,0,15
35250040,female,25,20,20,10,10
35250040,male,20,15,25,10,0
35250041,female,40,20,20,15,10
35250041,male,15,60,0,15,15
35250042,female,15,25,15,0,0
35250042,male,10,25,10,15,0
35250043,female,20,65,30,15,15
35250043,male,50,25,30,15,25
35250044,female,10,45,10,10,0
35250044,male,15,25,25,0,10
35250045,female,30,30,15,20,10
35250045,male,15,55,25,10,15
35250046,female,30,35,10,15,15
35250046,male,30,65,30,0,25
35250047,female,40,30,15,0,10
35250047,male,20,25,30,10,45
35250048,female,25,15,0,0,10
35250048,male,10,20,15,0,10
35250049,female,15,55,15,10,10
35250049,male,10,35,25,10,15
35250050,female,25,55,20,10,10
35250050,male,25,20,20,10,0
35250051,female,80,145,50,15,15
35250051,male,45,90,75,35,55
35250052,female,10,25,15,15,10
35250052,male,0,20,25,10,0
35250053,female,35,70,25,10,10
35250053,male,15,90,15,15,25
35250054,female,20,35,15,0,10
35250054,male,0,45,10,10,10
35250055,female,25,105,50,10,10
35250055,male,25,45,45,20,25
35250056,female,10,25,0,0,0
35250056,male,0,30,10,0,10
35250059,female,60,130,55,10,25
35250059,male,65,90,85,20,45
35250060,female,25,50,45,0,20
35250060,male,10,50,30,10,20
35250061,female,0,45,20,0,10
35250061,male,10,50,15,0,15
35250062,female,25,80,10,15,10
35250062,male,25,40,55,0,10
35250064,female,40,80,35,15,0
35250064,male,35,70,30,10,25
35250065,female,35,40,20,25,15
35250065,male,35,50,15,20,10
35250066,female,25,40,10,0,10
35250066,male,10,40,25,0,0
35250067,female,30,70,25,0,10
35250067,male,25,50,25,25,30
35250070,female,40,15,15,15,10
35250070,male,30,25,10,20,20
35250073,female,45,60,20,0,10
35250073,male,15,20,25,20,30
35250074,female,10,25,15,0,0
35250074,male,0,15,20,10,15
35250075,female,20,30,25,10,10
35250075,male,30,40,25,0,30
35250077,female,20,85,30,0,10
35250077,male,20,50,25,15,15
35250078,female,15,55,10,10,0
35250078,male,10,40,10,20,25
35250079,female,10,25,0,10,0
35250079,male,0,25,15,10,0
35250080,female,30,55,20,10,15
35250080,male,10,50,20,35,10
35250081,female,65,110,40,15,25
35250081,male,20,125,20,25,55
35250082,female,10,20,0,0,0
35250082,male,0,25,0,0,10
35250083,female,30,30,30,10,15
35250083,male,20,35,10,15,25
35250084,female,0,25,10,0,10
35250084,male,10,35,15,15,15
35250085,female,15,45,10,0,0
35250085,male,35,30,25,0,10
35250086,female,20,50,15,0,15
35250086,male,15,40,15,0,15
35250087,female,30,35,20,0,0
35250087,male,15,45,15,15,10
35250088,female,35,40,10,0,0
35250088,male,0,15,20,20,15
35250089,female,65,35,20,15,10
35250089,male,25,35,20,0,10
35250093,female,25,65,10,10,0
35250093,male,15,55,30,20,20
35250094,female,10,40,15,10,15
35250094,male,15,15,40,0,0
35250095,female,25,30,10,15,0
35250095,male,15,60,0,25,15
35250096,female,45,65,25,20,0
35250096,male,10,55,35,15,25
35250097,female,20,30,10,10,10
35250097,male,15,15,10,0,10
35250098,female,0,25,15,0,0
35250098,male,15,0,0,0,20
35250099,female,45,75,10,10,10
35250099,male,60,80,20,15,20
35250100,female,20,65,10,10,15
35250100,male,20,55,20,0,10
35250101,female,20,55,15,0,0
35250101,male,40,60,10,10,0
35250102,female,15,15,10,0,0
35250102,male,25,45,0,0,10
35250105,female,35,45,10,15,10
35250105,male,30,65,25,15,25
35250106,female,35,30,15,10,15
35250106,male,25,30,30,15,10
35250107,female,30,70,20,15,10
35250107,male,25,55,30,0,20
35250108,female,15,30,20,10,0
35250108,male,15,40,40,20,10
35250109,female,45,65,15,10,15
35250109,male,10,70,30,0,20
35250110,female,35,50,20,0,10
35250110,male,15,70,35,10,0
35250111,female,25,40,0,10,10
35250111,male,10,35,20,10,10
35250112,female,10,35,10,0,10
35250112,male,0,45,15,0,10
35250113,female,15,25,10,10,0
35250113,male,35,30,25,10,10
35250114,female,30,20,15,10,10
35250114,male,10,30,30,0,10
35250115,female,95,140,50,35,30
35250115,male,40,140,80,0,60
35250116,female,70,100,20,15,10
35250116,male,45,75,30,10,25
35250117,female,15,30,10,0,10
35250117,male,10,30,15,10,0
35250118,female,25,40,25,10,0
35250118,male,30,15,20,0,15
35250119,female,50,35,15,0,10
35250119,male,40,35,10,10,25
35250120,female,25,45,15,10,20
35250120,male,30,30,10,10,20
35250121,female,30,60,25,25,20
35250121,male,15,40,0,15,10
35250122,female,30,15,0,0,15
35250122,male,0,15,20,0,25
35250123,female,20,40,0,0,10
35250123,male,25,35,15,15,25
35250124,female,30,50,20,0,0
35250124,male,10,40,20,10,15
35250125,female,25,50,0,0,10
35250125,male,0,45,15,10,10
35250126,female,35,50,25,0,0
35250126,male,30,60,25,10,20
35250127,female,90,175,70,20,30
35250127,male,40,145,85,75,60
35250128,female,15,65,20,10,25
35250128,male,35,45,20,15,25
35250129,female,25,50,10,10,0
35250129,male,15,40,20,10,25
35250130,female,40,40,10,10,10
35250130,male,20,40,20,0,15
35250133,female,0,0,0,0,0
35250133,male,0,10,10,0,0
35250134,female,60,55,20,0,10
35250134,male,35,45,15,15,30
35250135,female,125,170,95,15,40
35250135,male,80,210,105,10,50
35250136,female,20,45,10,15,10
35250136,male,15,25,15,0,10
35250137,female,25,50,10,0,10
35250137,male,25,30,10,0,15
35250144,female,75,155,50,45,35
35250144,male,65,175,50,35,80
35250145,female,40,70,0,10,15
35250145,male,20,45,10,15,10
35250146,female,25,75,20,10,20
35250146,male,45,95,50,10,20
35250147,female,15,35,30,10,0
35250147,male,0,40,15,0,0
35250148,female,20,80,0,10,10
35250148,male,25,45,30,10,35
35250149,female,30,50,25,10,10
35250149,male,45,60,10,0,15
35250150,female,40,50,10,10,10
35250150,male,30,55,20,0,10
35250151,female,20,35,25,0,15
35250151,male,15,40,15,15,25
35250152,female,70,120,35,10,30
35250152,male,80,100,75,20,30
35250153,female,20,70,25,0,10
35250153,male,45,60,25,0,15
35250156,female,15,30,0,10,10
35250156,male,20,35,15,0,20
35250158,female,10,60,15,10,0
35250158,male,25,50,25,10,30
35250159,female,15,50,10,0,10
35250159,male,20,40,30,0,0
35250160,female,25,40,10,0,15
35250160,male,10,25,20,10,15
35250161,female,35,95,10,0,15
35250161,male,40,90,25,10,15
35250162,female,10,50,25,15,15
35250162,male,15,65,20,0,10
35250163,female,40,25,0,10,0
35250163,male,20,65,15,10,25
35250164,female,15,45,0,10,0
35250164,male,30,30,20,0,15
35250172,female,25,25,15,10,15
35250172,male,25,20,40,10,0
35250173,female,45,120,115,15,25
35250173,male,35,115,75,25,40
35250175,female,60,175,95,25,20
35250175,male,35,150,90,50,90
35250176,female,35,55,35,0,20
35250176,male,35,100,40,30,20
35250177,female,25,70,40,25,0
35250177,male,25,65,30,20,25
35250178,female,30,45,25,15,15
35250178,male,20,80,50,15,10
35250179,female,50,70,20,20,10
35250179,male,50,80,75,20,30
35250180,female,55,170,85,20,50
35250180,male,40,140,90,45,90
35250181,female,30,40,0,35,10
35250181,male,20,35,35,10,10
35250183,female,15,35,0,10,0
35250183,male,20,45,0,10,10
35250184,female,20,65,15,0,10
35250184,male,20,45,15,10,15
35250185,female,20,35,25,10,0
35250185,male,15,30,10,15,10
35250186,female,25,30,0,0,0
35250186,male,25,20,10,0,10
35250188,female,30,65,50,10,25
35250188,male,30,70,65,15,30
35250189,female,45,75,15,15,15
35250189,male,50,95,45,20,30
35250190,female,25,45,10,0,10
35250190,male,20,45,10,20,10
35250191,female,55,85,20,0,25
35250191,male,30,50,30,10,50
35250192,female,95,170,65,30,15
35250192,male,55,205,55,35,55
35250193,female,15,20,35,10,10
35250193,male,10,30,0,20,0
35250194,female,25,35,30,0,0
35250194,male,35,55,20,10,0
35250196,female,25,45,25,10,0
35250196,male,10,40,20,0,25
35250197,female,0,50,25,10,0
35250197,male,15,45,20,10,20
35250199,female,105,245,170,60,65
35250199,male,55,235,175,75,125
35250200,female,50,50,10,20,10
35250200,male,35,65,25,10,15
35250201,female,0,40,0,0,0
35250201,male,0,20,0,0,10
35250202,female,25,95,55,10,15
35250202,male,40,115,60,25,30
35250203,female,45,80,25,45,15
35250203,male,50,75,75,25,10
35250204,female,25,20,35,25,50
35250204,male,20,95,30,35,35
35250205,female,15,35,10,0,10
35250205,male,15,35,10,10,0
35250206,female,15,50,30,15,15
35250206,male,30,60,35,10,10
35250207,female,10,55,10,0,0
35250207,male,20,25,10,15,15
35250208,female,20,45,15,0,10
35250208,male,10,50,30,0,10
35250209,female,10,35,10,10,10
35250209,male,10,35,20,15,10
35250210,female,45,55,10,0,10
35250210,male,20,55,20,10,15
35250211,female,10,25,10,0,0
35250211,male,10,15,0,0,0
35250212,female,10,40,30,0,0
35250212,male,35,25,25,0,10
35250213,female,10,40,0,0,10
35250213,male,10,50,10,0,0
35250216,female,20,35,10,10,0
35250216,male,25,50,0,0,10
35250217,female,20,45,30,15,20
35250217,male,25,90,0,10,10
35250218,female,20,50,30,15,10
35250218,male,30,55,20,10,15
35250221,female,15,40,20,0,0
35250221,male,40,60,30,20,15
35250222,female,25,30,15,10,25
35250222,male,25,50,10,10,10
35250223,female,25,45,10,0,10
35250223,male,10,40,40,25,10
35250224,female,0,35,0,0,0
35250224,male,0,45,20,0,15
35250225,female,15,30,15,10,10
35250225,male,10,35,10,10,25
35250226,female,55,20,15,10,20
35250226,male,20,30,20,10,10
35250227,female,10,50,55,15,10
35250227,male,10,75,25,25,10
35250230,female,20,30,20,0,15
35250230,male,35,85,25,0,15
35250231,female,30,40,10,15,10
35250231,male,40,25,40,10,15
35250232,female,20,35,25,10,10
35250232,male,0,40,20,0,30
35250233,female,25,30,25,20,10
35250233,male,40,25,40,0,10
35250234,female,15,25,15,20,15
35250234,male,20,35,25,0,10
