,geo_code,median total income of lone-parent economic families in 2015 ($),average family size of lone-parent economic families
849,35250702,57728,3.6
850,35250703,48320,2.9
851,35250704,38528,2.8
852,35250705,46464,2.6
853,35250706,38528,3.0
854,35250707,36864,2.7
855,35250708,38272,2.7
856,35250709,39296,2.6
857,35250710,38592,3.2
858,35250711,47744,2.5
859,35250712,56192,2.8
860,35250713,66688,2.2
861,35250714,30528,2.7
862,35250715,35072,2.7
863,35250716,40320,2.6
864,35250717,39296,2.5
865,35250718,42752,2.1
866,35250719,34944,2.7
867,35250720,42624,2.6
868,35250721,34816,2.5
869,35250724,0,3.0
870,35250725,0,3.3
871,35250726,40832,2.7
872,35250727,0,3.3
873,35250728,47232,2.9
874,35250729,35712,2.3
875,35250730,40064,2.1
876,35250731,33536,2.8
877,35250732,0,3.0
878,35250733,64128,2.4
879,35250734,38016,2.6
880,35250735,51840,2.8
881,35250736,65408,2.5
882,35250737,55680,2.6
883,35250738,60160,2.6
884,35250739,48768,2.1
885,35250740,54912,2.0
886,35250741,75008,2.5
887,35250742,59136,2.2
888,35250743,54144,2.6
889,35250744,50688,2.6
890,35250745,51840,2.1
891,35250746,55808,2.7
892,35250747,47232,2.5
893,35250748,57472,2.5
894,35250749,50048,2.6
895,35250750,32320,2.6
896,35250753,50688,2.3
897,35250754,58752,2.5
898,35250755,39616,3.0
899,35250756,59520,3.2
900,35250757,41344,2.6
901,35250758,46464,3.0
902,35250759,39040,2.5
903,35250760,40448,2.8
904,35250761,48000,2.4
905,35250762,35456,2.8
906,35250763,50304,2.6
907,35250764,45184,2.4
908,35250765,36480,2.4
909,35250766,43520,2.6
910,35250767,31648,2.8
911,35250768,43136,2.9
912,35250769,37760,2.4
913,35250770,30528,2.4
914,35250771,49792,2.8
915,35250772,44416,2.9
916,35250773,42496,2.8
917,35250774,48384,2.7
918,35250775,38016,2.9
919,35250776,28608,2.3
920,35250777,43648,2.4
921,35250778,39936,2.1
922,35250779,52608,2.5
923,35250780,42176,2.8
924,35250781,43264,2.6
925,35250782,45952,2.7
926,35250783,35200,2.7
927,35250784,48512,2.7
928,35250785,57216,2.2
929,35250786,52352,3.0
930,35250787,49152,2.5
931,35250788,56960,2.3
932,35250789,82432,2.4
933,35250790,74496,2.7
934,35250791,70400,2.6
935,35250792,46976,2.7
936,35250793,58624,2.9
937,35250798,46464,2.8
938,35250799,41856,3.2
939,35250800,44928,3.4
940,35250801,43392,2.8
941,35250802,0,3.0
942,35250803,0,3.0
943,35250804,62080,2.7
944,35250805,75520,2.4
945,35250806,0,2.0
946,35250807,71168,2.4
947,35250810,75008,2.8
948,35250812,0,3.5
949,35250813,0,3.0
950,35250814,0,3.0
951,35250815,75520,2.5
952,35250826,50560,2.8
953,35250827,0,2.7
954,35250828,0,3.0
955,35250829,0,2.2
956,35250830,34688,2.3
957,35250831,79872,2.8
958,35250832,0,2.0
959,35250833,0,3.5
960,35250834,0,2.2
961,35250835,66432,2.4
962,35250836,84480,3.0
963,35250843,47488,3.2
964,35250845,31072,2.4
965,35250846,47232,2.2
966,35250847,42368,3.3
967,35250848,44544,2.5
968,35250849,78080,2.6
969,35250850,44416,2.2
970,35250851,42880,2.6
971,35250852,48128,2.5
972,35250853,32896,3.0
973,35250854,38528,2.6
974,35250855,44416,2.6
975,35250857,56704,2.8
976,35250859,0,3.0
977,35250860,38016,3.0
978,35250861,0,2.5
979,35250862,0,3.0
980,35250863,0,3.0
981,35250864,0,2.5
982,35250865,0,3.0
983,35250866,0,2.7
984,35250867,0,2.3
985,35250868,0,3.0
986,35250869,0,2.0
987,35250870,0,3.5
988,35250871,0,3.5
989,35250872,0,2.5
990,35250873,0,3.0
991,35250874,0,2.3
992,35250875,70400,3.0
993,35250876,0,4.0
994,35250877,72960,2.8
995,35250878,0,3.3
996,35250879,57216,2.3
997,35250880,30080,2.3
998,35250881,50304,2.8
999,35250882,64384,2.5
1000,35250883,68352,2.5
1001,35250884,0,2.7
1002,35250885,0,2.5
1003,35250886,87808,2.4
1004,35250887,73984,2.5
1005,35250888,0,2.7
1006,35250889,72448,2.5
1007,35250890,0,5.0
1008,35250891,0,2.0
1009,35250892,74752,2.6
1010,35250893,0,4.0
1011,35250894,0,3.0
1012,35250895,0,2.0
1013,35250896,56448,2.2
1014,35250897,0,2.0
1015,35250898,0,3.0
1016,35250899,0,2.0
1017,35250900,0,2.0
1018,35250901,0,3.0
1019,35250902,0,2.5
1020,35250903,0,3.0
1021,35250904,0,2.0
1022,35250905,0,2.5
1023,35250906,0,3.0
1024,35250907,0,3.0
1025,35250908,0,2.0
1026,35250909,87808,3.0
1027,35250910,79872,2.7
1028,35250911,0,3.0
1029,35250912,0,2.7
1030,35250913,84224,3.0
1031,35250914,0,3.0
1032,35250918,86784,2.2
1033,35250919,0,3.0
1034,35250920,85760,2.5
1035,35250921,59264,2.3
1036,35250922,62080,2.2
1037,35250923,0,3.3
1038,35250924,0,2.8
1039,35250925,0,2.5
1040,35250928,0,3.0
1041,35250929,0,2.7
1042,35250930,0,2.2
1043,35250931,0,3.0
1044,35250932,0,2.0
1045,35250933,0,2.0
1046,35250934,0,2.0
1047,35250935,49408,2.2
1048,35250936,0,4.0
1049,35250937,68480,2.5
1050,35250938,62208,2.5
1051,35250939,0,3.5
1052,35250940,0,2.3
1053,35250941,49024,2.5
1054,35250942,0,2.2
1055,35250943,97024,2.8
1056,35250944,0,2.7
1057,35250945,0,3.3
1058,35250946,0,3.0
1059,35250947,67840,3.6
1060,35250948,79104,2.6
1061,35250949,0,3.0
1062,35250950,0,3.0
1063,35250951,0,4.0
1064,35250952,86016,2.8
1065,35250953,37184,2.7
1066,35250954,29440,3.0
1067,35250955,26560,3.2
1068,35250956,0,2.7
1069,35250957,34304,2.9
1070,35250958,29248,2.5
1071,35250959,35328,2.6
1072,35250960,34688,2.8
1073,35250961,34816,2.7
1074,35250962,30144,2.7
1075,35250963,39808,2.3
1076,35250964,65408,2.2
1077,35250965,0,3.0
1078,35250966,F,F
1079,35250967,0,2.3
1080,35250968,0,2.2
1081,35250969,54912,2.2
1082,35250970,43136,2.7
1083,35250971,0,2.0
1084,35250972,0,3.0
1085,35250973,0,2.3
1086,35250974,0,2.5
1087,35250975,0,2.3
