geo_code,,between 5am and 5:59,between 6am and 6:59,between 7am and 7:59,between 8am and 8:59,between 9am and 11:59,between 12pm and 4:49 am
35250062,male,10,30,30,30,25,0
35250064,female,10,25,40,65,45,0
35250064,male,15,20,55,50,10,25
35250065,female,0,25,20,35,30,15
35250065,male,10,15,25,50,10,15
35250066,female,0,0,35,15,15,0
35250066,male,10,25,20,20,10,0
35250067,female,0,0,55,45,10,20
35250067,male,0,35,40,40,10,20
35250070,female,0,15,35,25,15,0
35250070,male,10,20,30,20,15,0
35250073,female,0,15,30,35,10,40
35250073,male,20,20,15,10,0,45
35250074,female,0,10,25,15,10,0
35250074,male,10,15,15,15,0,0
35250075,female,0,15,30,15,0,20
35250075,male,10,35,25,10,15,25
35250077,female,0,35,20,25,30,30
35250077,male,0,40,30,20,15,20
35250078,female,0,10,25,35,20,15
35250078,male,25,10,35,10,10,15
35250079,female,0,10,15,15,0,0
35250079,male,0,25,0,10,0,20
35250080,female,0,35,40,30,15,10
35250080,male,10,25,20,10,10,50
35250081,female,20,35,65,50,25,55
35250081,male,45,60,45,15,15,60
35250082,female,0,10,15,0,10,10
35250082,male,10,20,0,15,0,10
35250083,female,0,20,25,35,20,25
35250083,male,10,10,25,35,0,35
35250084,female,0,15,0,10,10,10
35250084,male,10,10,20,15,0,20
35250085,female,0,10,15,35,0,10
35250085,male,15,10,15,10,0,35
35250086,female,0,25,20,35,25,0
35250086,male,10,10,30,30,0,15
35250087,female,0,10,10,30,15,30
35250087,male,15,15,0,10,15,35
35250088,female,0,0,50,15,0,10
35250088,male,10,25,10,20,0,0
35250089,female,10,25,25,35,0,35
35250089,male,10,15,30,10,0,15
35250093,female,0,20,15,30,30,25
35250093,male,25,40,15,25,25,15
35250094,female,10,20,15,25,0,15
35250094,male,0,15,15,20,10,15
35250095,female,20,15,10,20,20,0
35250095,male,15,20,10,10,20,30
35250096,female,0,15,25,60,15,35
35250096,male,40,10,25,15,20,20
35250097,female,0,15,10,20,10,10
35250097,male,0,10,15,0,10,10
35250098,female,0,10,0,0,0,10
35250098,male,10,0,10,15,10,10
35250099,female,15,25,35,50,20,0
35250099,male,10,40,40,45,35,35
35250100,female,0,10,35,35,25,15
